,utc_hour,latitude,longitude,power_kW
0,0,17.93000030517578,-66.94000244140625,770.8473836956704
1,0,17.93000030517578,-66.18000030517578,560.8451962371258
2,0,17.969999313354492,-67.18000030517578,1087.00706953998
3,0,17.969999313354492,-67.13999938964844,919.2984714855487
4,0,17.969999313354492,-67.0999984741211,829.8159627130317
5,0,17.969999313354492,-67.05999755859375,809.1368488193735
6,0,17.969999313354492,-67.0199966430664,775.6110596364515
7,0,17.969999313354492,-66.9800033569336,771.1857022848527
8,0,17.969999313354492,-66.94000244140625,768.7378333335289
9,0,17.969999313354492,-66.9000015258789,768.3157170858415
10,0,17.969999313354492,-66.86000061035156,768.3157170858415
11,0,17.969999313354492,-66.81999969482422,768.7378333335289
12,0,17.969999313354492,-66.62000274658203,796.0892794050945
13,0,17.969999313354492,-66.58000183105469,766.1370277567661
14,0,17.969999313354492,-66.41999816894531,576.256543453212
15,0,17.969999313354492,-66.37999725341797,562.4355893781321
16,0,17.969999313354492,-66.33999633789062,558.9935004496917
17,0,17.969999313354492,-66.30000305175781,555.107022257029
18,0,17.969999313354492,-66.26000213623047,555.107022257029
19,0,17.969999313354492,-66.22000122070312,555.107022257029
20,0,17.969999313354492,-66.18000030517578,555.5595563896189
21,0,17.969999313354492,-66.13999938964844,564.17918921722
22,0,17.969999313354492,-66.0999984741211,581.4431961553815
23,0,17.969999313354492,-66.05999755859375,592.017264233379
24,0,17.969999313354492,-66.0199966430664,675.1170055358107
25,0,17.969999313354492,-65.94000244140625,962.9836615965663
26,0,18.010000228881836,-67.13999938964844,927.9533736125679
27,0,18.010000228881836,-67.0999984741211,817.8337823800142
28,0,18.010000228881836,-67.05999755859375,798.443376643227
29,0,18.010000228881836,-67.0199966430664,772.6079524158495
30,0,18.010000228881836,-66.9800033569336,770.8473836956704
31,0,18.010000228881836,-66.94000244140625,768.3157170858415
32,0,18.010000228881836,-66.9000015258789,768.3157170858415
33,0,18.010000228881836,-66.86000061035156,768.3157170858415
34,0,18.010000228881836,-66.81999969482422,768.3157170858415
35,0,18.010000228881836,-66.77999877929688,768.7378333335289
36,0,18.010000228881836,-66.73999786376953,770.7747274093374
37,0,18.010000228881836,-66.69999694824219,771.2272615419273
38,0,18.010000228881836,-66.66000366210938,762.5092524927497
39,0,18.010000228881836,-66.62000274658203,757.0875135754663
40,0,18.010000228881836,-66.58000183105469,704.1145468712672
41,0,18.010000228881836,-66.54000091552734,654.5343387155059
42,0,18.010000228881836,-66.5,616.5178860379614
43,0,18.010000228881836,-66.45999908447266,585.8068986925936
44,0,18.010000228881836,-66.41999816894531,577.9357633256914
45,0,18.010000228881836,-66.37999725341797,560.8451962371258
46,0,18.010000228881836,-66.33999633789062,558.2038745652746
47,0,18.010000228881836,-66.30000305175781,555.107022257029
48,0,18.010000228881836,-66.26000213623047,555.107022257029
49,0,18.010000228881836,-66.22000122070312,555.107022257029
50,0,18.010000228881836,-66.18000030517578,555.107022257029
51,0,18.010000228881836,-66.13999938964844,558.2038745652746
52,0,18.010000228881836,-66.0999984741211,574.8718970047487
53,0,18.010000228881836,-66.05999755859375,586.0437594380617
54,0,18.010000228881836,-66.0199966430664,659.5887261988927
55,0,18.010000228881836,-65.9800033569336,705.1339474135686
56,0,18.010000228881836,-65.94000244140625,877.58714265942
57,0,18.010000228881836,-65.9000015258789,954.5819013769527
58,0,18.010000228881836,-65.86000061035156,1129.2910820728714
59,0,18.049999237060547,-67.18000030517578,1026.9530741046399
60,0,18.049999237060547,-67.13999938964844,914.6785368439956
61,0,18.049999237060547,-67.0999984741211,809.5623461971268
62,0,18.049999237060547,-67.05999755859375,798.7931834726168
63,0,18.049999237060547,-67.0199966430664,772.6079524158495
64,0,18.049999237060547,-66.9800033569336,771.5643532937544
65,0,18.049999237060547,-66.94000244140625,768.7378333335289
66,0,18.049999237060547,-66.9000015258789,768.7378333335289
67,0,18.049999237060547,-66.86000061035156,768.3157170858415
68,0,18.049999237060547,-66.81999969482422,768.7378333335289
69,0,18.049999237060547,-66.77999877929688,769.29195676119
70,0,18.049999237060547,-66.73999786376953,771.2272615419273
71,0,18.049999237060547,-66.69999694824219,768.8006833698901
72,0,18.049999237060547,-66.66000366210938,744.640124222475
73,0,18.049999237060547,-66.62000274658203,736.576506212532
74,0,18.049999237060547,-66.58000183105469,703.5373349674535
75,0,18.049999237060547,-66.54000091552734,657.1372339493488
76,0,18.049999237060547,-66.5,603.4585717495349
77,0,18.049999237060547,-66.45999908447266,585.8068986925936
78,0,18.049999237060547,-66.41999816894531,578.909702665258
79,0,18.049999237060547,-66.37999725341797,562.0569383692304
80,0,18.049999237060547,-66.33999633789062,558.2038745652746
81,0,18.049999237060547,-66.30000305175781,555.107022257029
82,0,18.049999237060547,-66.26000213623047,555.107022257029
83,0,18.049999237060547,-66.22000122070312,555.107022257029
84,0,18.049999237060547,-66.18000030517578,556.9848030244202
85,0,18.049999237060547,-66.13999938964844,558.9935004496917
86,0,18.049999237060547,-66.0999984741211,582.2328220397987
87,0,18.049999237060547,-66.05999755859375,590.1517153602533
88,0,18.049999237060547,-66.0199966430664,651.2368503210541
89,0,18.049999237060547,-65.9800033569336,693.4599538540568
90,0,18.049999237060547,-65.94000244140625,887.2317078671349
91,0,18.049999237060547,-65.9000015258789,955.2175221273371
92,0,18.049999237060547,-65.86000061035156,1069.0212281701718
93,0,18.09000015258789,-67.9000015258789,1340.313008327644
94,0,18.09000015258789,-67.86000061035156,1327.5829742260814
95,0,18.09000015258789,-67.18000030517578,1022.6286779747563
