Episode,Total Reward,Epsilon,Cell Index,Action Type,Reward,Energy Output,Unmet Demand
,,,58720,wind,549,7143,57180356
,,,54480,solar,23713,128601,57058898
,,,18641,wind,947,140164,57047335
,,,42077,wind,5999,171901,57015598
,,,37532,wind,1063,181693,57005806
,,,19934,wind,2816,198903,56988596
,,,57661,wind,310,208766,56978733
,,,39656,wind,1555,224577,56962922
,,,60317,wind,636,232429,56955070
