Episode,Total Reward,Epsilon,Cell Index,Action Type,Reward,Energy Output,Unmet Demand
,,,10144,wind,0,67772,57119727
,,,2754,wind,0,104765,57082734
,,,3429,solar,1,604275,56583224
,,,12443,solar,1,1087825,56099674
,,,2535,solar,1,1582680,55604819
,,,10423,wind,0,1637728,55549771
,,,4848,solar,1,2123843,55063656
,,,8121,wind,0,2154604,55032895
,,,8441,wind,0,2183190,55004309
,,,5834,solar,1,2649735,54537764
,,,5455,solar,1,3141930,54045569
,,,15659,wind,0,3177680,54009819
,,,11226,wind,0,3266671,53920828
,,,16045,wind,0,3326514,53860985
,,,5949,solar,1,3811489,53376010
,,,5050,wind,0,3890597,53296902
,,,3772,solar,1,4416137,52771362
,,,12120,wind,0,4485897,52701602
,,,5038,wind,0,4552980,52634519
,,,15734,wind,0,4597916,52589583
,,,11718,wind,0,4661651,52525848
,,,15953,wind,0,4747687,52439812
,,,15133,wind,0,4767037,52420462
,,,10745,wind,0,4864936,52322563
,,,8228,wind,0,4930595,52256904
,,,5833,solar,1,5401130,51786369
,,,13854,wind,0,5429672,51757827
,,,2828,solar,1,5930512,51256987
,,,3624,solar,1,6455102,50732397
,,,15233,solar,1,6945207,50242292
,,,14334,wind,0,7012309,50175190
,,,11841,wind,0,7036695,50150804
,,,3143,solar,1,7516065,49671434
,,,2933,solar,1,8006645,49180854
,,,3252,wind,0,8038508,49148991
,,,12147,wind,0,8084326,49103173
