Episode,Total Reward,Epsilon,Cell Index,Action Type,Reward,Energy Output,Unmet Demand
,,,15836,solar,0,497230,56690269
,,,15836,solar,-2,497230,56690269
,,,15836,solar,-2,497230,56690269
,,,15935,wind,0,524193,56663306
,,,15836,solar,-2,524193,56663306
,,,15749,wind,0,560941,56626558
,,,8547,wind,0,612754,56574745
,,,15836,solar,-2,612754,56574745
,,,15836,solar,-2,612754,56574745
,,,15836,solar,-2,612754,56574745
,,,15836,solar,-2,612754,56574745
,,,14441,solar,0,1106754,56080745
,,,15836,solar,-2,1106754,56080745
,,,13217,wind,0,1157805,56029694
,,,15836,solar,-2,1157805,56029694
,,,4848,wind,0,1210312,55977187
,,,12035,wind,0,1216254,55971245
,,,11831,solar,0,1711299,55476200
,,,14441,solar,-2,1711299,55476200
,,,5928,wind,0,1736368,55451131
,,,17343,wind,0,1758017,55429482
,,,10930,wind,0,1821857,55365642
,,,5928,wind,-2,1821857,55365642
,,,5928,wind,-2,1821857,55365642
,,,14759,wind,0,1853004,55334495
,,,8547,wind,-2,1853004,55334495
,,,8547,wind,-2,1853004,55334495
,,,14441,solar,-2,1853004,55334495
,,,14441,solar,-2,1853004,55334495
,,,15749,wind,-2,1853004,55334495
,,,15749,wind,-2,1853004,55334495
,,,15749,wind,-2,1853004,55334495
,,,17343,wind,-2,1853004,55334495
,,,17343,wind,-2,1853004,55334495
,,,17142,solar,1,2369804,54817695
,,,17343,wind,-2,2369804,54817695
,,,5945,wind,0,2460261,54727238
,,,9025,solar,1,2974781,54212718
,,,10230,wind,0,3026318,54161181
,,,15159,wind,0,3058431,54129068
,,,5928,wind,-2,3058431,54129068
,,,5928,wind,-2,3058431,54129068
,,,2731,wind,0,3086645,54100854
,,,8230,wind,0,3104314,54083185
,,,15749,wind,-2,3104314,54083185
,,,2955,solar,0,3595749,53591750
,,,14734,solar,0,4079869,53107630
,,,15836,solar,-2,4079869,53107630
,,,5928,wind,-2,4079869,53107630
,,,14441,solar,-2,4079869,53107630
,,,14441,solar,-2,4079869,53107630
,,,14441,solar,-2,4079869,53107630
,,,15935,wind,-2,4079869,53107630
,,,12261,wind,0,4102453,53085046
,,,15836,solar,-2,4102453,53085046
,,,15836,solar,-2,4102453,53085046
,,,14735,solar,0,4589423,52598076
,,,3647,wind,0,4614535,52572964
,,,10832,wind,0,4738970,52448529
,,,17343,wind,-2,4738970,52448529
,,,15749,wind,-2,4738970,52448529
,,,2943,wind,0,4802981,52384518
,,,15836,solar,-2,4802981,52384518
,,,1754,wind,0,4868347,52319152
,,,14441,solar,-2,4868347,52319152
,,,5928,wind,-2,4868347,52319152
,,,6845,solar,0,5341827,51845672
,,,17343,wind,-2,5341827,51845672
,,,15836,solar,-2,5341827,51845672
,,,15836,solar,-2,5341827,51845672
,,,15836,solar,-2,5341827,51845672
,,,15749,wind,-2,5341827,51845672
,,,2656,wind,0,5377951,51809548
,,,14441,solar,-2,5377951,51809548
,,,14441,solar,-2,5377951,51809548
,,,14441,solar,-2,5377951,51809548
,,,14441,solar,-2,5377951,51809548
,,,5355,solar,0,5871856,51315643
,,,14337,wind,0,5906533,51280966
,,,5928,wind,-2,5906533,51280966
,,,5928,wind,-2,5906533,51280966
,,,14930,wind,0,5937249,51250250
,,,14441,solar,-2,5937249,51250250
,,,17749,wind,0,5966021,51221478
,,,13621,wind,0,6042097,51145402
,,,15020,wind,0,6164813,51022686
,,,13741,wind,0,6170740,51016759
,,,17343,wind,-2,6170740,51016759
,,,14441,solar,-2,6170740,51016759
,,,15836,solar,-2,6170740,51016759
,,,15836,solar,-2,6170740,51016759
,,,15425,wind,0,6204529,50982970
,,,5145,solar,0,6683804,50503695
,,,1958,wind,0,6732997,50454502
,,,17343,wind,-2,6732997,50454502
,,,15749,wind,-2,6732997,50454502
,,,3741,wind,0,6795033,50392466
,,,3427,wind,0,6825145,50362354
,,,14441,solar,-2,6825145,50362354
,,,12619,wind,0,6915999,50271500
,,,11619,wind,0,6986116,50201383
,,,15836,solar,-2,6986116,50201383
,,,14441,solar,-2,6986116,50201383
,,,11635,wind,0,7034044,50153455
,,,7727,wind,0,7113710,50073789
,,,5928,wind,-2,7113710,50073789
,,,7518,wind,0,7146667,50040832
