Episode,Total Reward,Total Cost,Invalid Actions,Epsilon,Cell Index,Action Type,Reward,Energy Output,Unmet Demand
,,,,,15327,solar,0,478040,56709459
,,,,,11147,wind,0,527228,56660271
,,,,,2556,wind,0,567084,56620415
,,,,,16028,wind,0,598298,56589201
,,,,,7031,wind,0,688300,56499199
,,,,,8234,wind,0,783419,56404080
,,,,,11245,wind,0,824733,56362766
,,,,,5835,wind,0,853565,56333934
,,,,,16062,wind,0,908738,56278761
,,,,,12734,wind,0,947695,56239804
,,,,,12232,wind,0,960954,56226545
,,,,,10232,solar,0,1443459,55744040
,,,,,10947,wind,0,1485531,55701968
,,,,,3460,solar,0,1985516,55201983
,,,,,6125,solar,0,2498706,54688793
,,,,,6339,solar,0,2977981,54209518
,,,,,5520,solar,0,3519671,53667828
,,,,,9738,wind,0,3664928,53522571
,,,,,9549,wind,0,3694922,53492577
,,,,,3460,solar,-2,3694922,53492577
,,,,,6070,solar,0,4221792,52965707
,,,,,11056,solar,0,4708667,52478832
,,,,,3927,wind,0,4745966,52441533
,,,,,7329,wind,0,4776788,52410711
,,,,,9940,wind,0,4857525,52329974
,,,,,3255,wind,0,4886993,52300506
,,,,,10041,wind,0,4982685,52204814
,,,,,7921,wind,0,5036028,52151471
,,,,,5323,solar,0,5573538,51613961
,,,,,5370,wind,0,5650069,51537430
,,,,,11428,wind,0,5729687,51457812
,,,,,12919,wind,0,5806054,51381445
,,,,,17141,wind,0,5833511,51353988
,,,,,5834,solar,0,6300056,50887443
,,,,,15359,wind,0,6333507,50853992
,,,,,2856,wind,0,6368068,50819431
,,,,,13657,solar,0,6859218,50328281
,,,,,15430,solar,0,7340963,49846536
,,,,,3759,solar,0,7839903,49347596
,,,,,7446,wind,0,7844521,49342978
,,,,,14643,solar,0,8343556,48843943
,,,,,11849,solar,0,8814186,48373313
,,,,,3131,wind,0,8840454,48347045
,,,,,11718,solar,0,9381099,47806400
,,,,,12524,wind,0,9430496,47757003
,,,,,16541,wind,0,9458267,47729232
,,,,,15660,wind,0,9499437,47688062
,,,,,10147,wind,0,9572578,47614921
,,,,,3446,solar,0,10047198,47140301
,,,,,2156,wind,0,10092270,47095229
,,,,,9451,wind,0,10115828,47071671
,,,,,6927,wind,0,10179715,47007784
,,,,,5149,wind,0,10239358,46948141
,,,,,12052,wind,0,10273578,46913921
,,,,,15137,wind,0,10297839,46889660
,,,,,11452,solar,0,10775689,46411810
,,,,,14318,wind,0,10809661,46377838
,,,,,2833,solar,0,11301666,45885833
,,,,,8444,wind,0,11385823,45801676
,,,,,8733,wind,0,11514169,45673330
,,,,,16959,solar,0,12006364,45181135
,,,,,14925,wind,0,12043492,45144007
,,,,,7821,wind,0,12089768,45097731
,,,,,6749,wind,0,12111231,45076268
,,,,,12235,wind,0,12125932,45061567
,,,,,5444,wind,0,12166537,45020962
,,,,,9424,solar,0,12689417,44498082
,,,,,14437,wind,0,12705687,44481812
,,,,,16129,solar,0,13216502,43970997
,,,,,5145,wind,0,13236961,43950538
,,,,,17849,wind,0,13259426,43928073
,,,,,5645,wind,0,13350831,43836668
,,,,,3072,wind,0,13439152,43748347
,,,,,6849,wind,0,13449621,43737878
,,,,,10046,wind,0,13535892,43651607
,,,,,15119,wind,0,13598231,43589268
,,,,,12922,wind,0,13704873,43482626
,,,,,8230,wind,0,13722542,43464957
,,,,,5238,wind,0,13788692,43398807
,,,,,1858,solar,0,14292002,42895497
,,,,,2057,wind,0,14336801,42850698
,,,,,12324,wind,0,14374014,42813485
,,,,,6127,solar,0,14866779,42320720
,,,,,6139,wind,0,14932882,42254617
,,,,,5837,wind,0,14962860,42224639
,,,,,12748,solar,0,15450780,41736719
,,,,,4455,wind,0,15492551,41694948
,,,,,10446,wind,0,15585300,41602199
,,,,,6735,solar,0,16033510,41153989
,,,,,14634,wind,0,16045793,41141706
,,,,,8120,wind,0,16076707,41110792
,,,,,2967,wind,0,16171787,41015712
,,,,,5970,wind,0,16252994,40934505
,,,,,16960,solar,0,16759344,40428155
,,,,,1556,solar,0,17269114,39918385
,,,,,13245,solar,0,17755989,39431510
,,,,,5360,wind,0,17798105,39389394
,,,,,12461,wind,0,17824722,39362777
,,,,,13316,wind,0,17884996,39302503
,,,,,11769,wind,0,17957412,39230087
,,,,,11328,wind,0,18048034,39139465
,,,,,13516,wind,0,18129786,39057713
,,,,,3142,wind,0,18171164,39016335
,,,,,2845,wind,0,18200708,38986791
,,,,,17441,solar,0,18724158,38463341
,,,,,7922,solar,0,19261953,37925546
,,,,,4146,wind,0,19287245,37900254
,,,,,15935,wind,0,19314208,37873291
,,,,,15029,solar,0,19791773,37395726
,,,,,9352,solar,0,20270668,36916831
,,,,,6022,wind,0,20303279,36884220
,,,,,11338,solar,0,20781224,36515206
,,,,,15832,solar,0,21274749,36155273
,,,,,10624,solar,0,21792689,35777945
,,,,,15543,solar,0,22299419,35474664
,,,,,2570,wind,0,22408107,35375874
,,,,,8548,wind,0,22475460,35319550
,,,,,13262,solar,0,22976585,35078722
,,,,,15827,wind,0,23006656,35054882
,,,,,5819,solar,0,23558416,34800505
,,,,,13621,wind,0,23634492,34739870
,,,,,11560,solar,0,24127067,34505351
,,,,,14232,wind,0,24179448,34463613
,,,,,14118,solar,0,24716103,34203721
,,,,,6025,wind,0,24763594,34161842
,,,,,4845,wind,0,24800952,34127181
,,,,,2970,solar,0,25321077,33888995
,,,,,3842,solar,0,25794557,33719853
,,,,,9862,wind,0,25825522,33696038
,,,,,11338,wind,-2,25825522,33696038
,,,,,2570,solar,-2,25825522,33696038
,,,,,8927,wind,0,25856272,33671337
,,,,,15941,solar,0,26363857,33485099
,,,,,12443,wind,0,26371464,33479406
,,,,,7940,wind,0,26390238,33462880
,,,,,12442,wind,0,26395460,33459020
,,,,,16538,wind,0,26424686,33436223
,,,,,4934,wind,0,26525943,33345196
,,,,,3522,solar,0,27055758,33160457
,,,,,5022,solar,0,27593268,32970384
,,,,,5946,wind,0,27655488,32916997
,,,,,17850,wind,0,27698802,32883849
,,,,,2753,wind,0,27729053,32857328
,,,,,14253,wind,0,27751294,32841267
,,,,,4046,solar,0,28225534,32725487
,,,,,3740,solar,0,28697114,32613153
,,,,,12132,wind,0,28759004,32568940
,,,,,10833,wind,0,28848569,32504876
,,,,,2837,wind,0,28876462,32479966
,,,,,15359,solar,-2,28876462,32479966
,,,,,10953,wind,0,28921033,32450215
,,,,,6445,wind,0,28977544,32404204
,,,,,10134,wind,0,28991390,32393777
,,,,,1955,solar,0,29492990,32274327
,,,,,8444,wind,-2,29492990,32274327
,,,,,2951,wind,0,29530024,32242906
,,,,,2869,wind,0,29621055,32166418
,,,,,6541,wind,0,29661578,32133302
,,,,,16539,wind,0,29685201,32116156
,,,,,12045,wind,0,29715394,32094697
,,,,,11046,wind,0,29793872,32038597
,,,,,5244,wind,0,29834651,32002704
,,,,,8146,solar,0,30311266,31881416
,,,,,11547,solar,0,30787881,31753409
,,,,,15634,wind,0,30824167,31728058
,,,,,2928,wind,0,30849178,31705588
,,,,,6543,wind,0,30891548,31670989
,,,,,11831,solar,0,31386593,31536339
,,,,,8130,wind,0,31408260,31520045
,,,,,11144,wind,0,31495333,31457766
,,,,,10650,wind,0,31538624,31428891
,,,,,13155,wind,0,31553049,31419746
,,,,,5327,wind,0,31588506,31390697
,,,,,5824,wind,0,31629234,31357416
,,,,,12758,solar,0,32121809,31222350
,,,,,8441,wind,0,32150395,31200886
,,,,,16640,solar,0,32661115,31061089
,,,,,4745,wind,0,32669927,31052449
,,,,,11540,solar,0,33145687,30925427
,,,,,16656,solar,0,33619167,30795640
,,,,,3562,solar,0,34121527,30670818
,,,,,5719,wind,0,34167569,30635430
,,,,,7828,wind,0,34215676,30596206
,,,,,15042,solar,0,34720411,30457264
,,,,,9467,wind,0,34778564,30415616
,,,,,1556,solar,-2,34778564,30415616
,,,,,12739,solar,0,35271139,30291423
,,,,,13348,wind,0,35307031,30267664
,,,,,10852,solar,0,35784786,30179487
,,,,,11935,wind,0,35809083,30163139
,,,,,11718,wind,-2,35809083,30163139
,,,,,8632,wind,0,35834619,30144818
,,,,,11849,wind,-2,35834619,30144818
,,,,,2823,wind,0,35888302,30099195
,,,,,5334,solar,0,36360357,30014016
,,,,,2933,wind,0,36383458,29993660
,,,,,8121,wind,0,36414219,29971605
,,,,,12758,solar,-2,36414219,29971605
,,,,,6748,solar,0,36899859,29885990
,,,,,10153,wind,0,36932557,29863924
,,,,,13553,wind,0,36947202,29855104
,,,,,9845,wind,0,36973110,29836521
,,,,,17645,wind,0,37002210,29816395
,,,,,14534,wind,0,37019594,29805096
,,,,,11826,wind,0,37167320,29704624
,,,,,3170,wind,0,37257976,29631693
,,,,,2845,wind,-2,37257976,29631693
,,,,,6640,wind,0,37304371,29595124
,,,,,11240,wind,0,37343773,29568429
,,,,,7127,wind,0,37413537,29513617
,,,,,12930,wind,0,37451871,29487656
,,,,,8147,wind,0,37508871,29446844
,,,,,7949,wind,0,37565101,29405901
,,,,,7467,solar,0,38073921,29318198
,,,,,2559,wind,0,38105742,29291491
,,,,,15731,wind,0,38144489,29265809
,,,,,9449,wind,0,38159838,29255616
,,,,,17644,solar,0,38667993,29161238
,,,,,10552,wind,0,38705859,29135655
,,,,,3473,solar,0,39235769,29047209
,,,,,6037,wind,0,39281216,29011375
,,,,,17750,wind,0,39305729,28995006
,,,,,12630,wind,0,39364691,28954992
,,,,,13955,solar,0,39852801,28860693
,,,,,17856,wind,0,39895640,28831866
,,,,,10333,wind,0,39973040,28776437
,,,,,5119,solar,0,40517960,28682510
,,,,,4222,wind,0,40561322,28645464
,,,,,14546,wind,0,40567709,28641590
,,,,,15424,solar,0,41058099,28552778
,,,,,3651,wind,0,41082417,28532685
,,,,,5136,solar,0,41552762,28449560
,,,,,5138,solar,0,42024057,28383068
,,,,,15942,solar,0,42531547,28319963
,,,,,17849,wind,-2,42531547,28319963
,,,,,10932,wind,0,42593021,28281821
,,,,,9245,wind,0,42663140,28235421
,,,,,3725,wind,0,42708950,28198069
,,,,,12640,wind,0,42767729,28161610
,,,,,9741,solar,0,43223919,28107056
,,,,,4931,wind,0,43276680,28064189
,,,,,2150,solar,0,43782365,28012288
,,,,,8243,solar,0,44258885,27956675
,,,,,12556,wind,0,44286441,27941313
,,,,,4355,wind,0,44325392,27910747
,,,,,9426,wind,0,44354016,27891835
,,,,,5547,solar,0,44841556,27840888
,,,,,7919,wind,0,44871573,27820197
,,,,,11954,wind,0,44889746,27810377
,,,,,6358,wind,0,44927431,27784723
,,,,,11328,wind,-2,44927431,27784723
,,,,,17644,solar,-2,44927431,27784723
,,,,,18248,wind,0,44988807,27745328
,,,,,11126,solar,0,45496867,27681809
,,,,,14337,wind,0,45531544,27660911
,,,,,3927,wind,-2,45531544,27660911
,,,,,15320,solar,0,46048439,27595184
,,,,,16143,solar,0,46553554,27532374
,,,,,5360,solar,-2,46553554,27532374
,,,,,13721,wind,0,46642291,27478434
,,,,,2970,wind,-2,46642291,27478434
,,,,,10531,wind,0,46737737,27415281
,,,,,9828,solar,0,47232592,27354359
,,,,,14862,solar,0,47743027,27290844
,,,,,10328,solar,0,48239402,27228797
,,,,,10136,wind,0,48383905,27133150
,,,,,15721,wind,0,48466577,27082910
,,,,,3361,solar,0,48967512,27030524
,,,,,10845,wind,0,49088196,26955431
,,,,,5947,solar,0,49574596,26903544
,,,,,3725,solar,-2,49574596,26903544
,,,,,11143,solar,0,50050546,26845569
,,,,,12662,solar,0,50551101,26786258
,,,,,11241,wind,0,50635986,26736641
,,,,,12066,solar,0,51143666,26705204
,,,,,8668,solar,0,51653056,26674889
,,,,,5833,solar,0,52123591,26644640
,,,,,7846,wind,0,52144504,26629543
,,,,,15450,wind,0,52156505,26623738
,,,,,10144,solar,0,52622100,26593404
,,,,,6742,wind,0,52659399,26567064
,,,,,10716,wind,0,52736051,26518646
,,,,,14540,solar,0,53231286,26486492
,,,,,8140,wind,0,53261842,26467427
,,,,,2956,wind,0,53289778,26446436
,,,,,5823,wind,0,53364387,26394213
,,,,,15450,wind,-2,53364387,26394213
,,,,,7446,wind,-2,53364387,26394213
,,,,,4339,wind,0,53391722,26372329
,,,,,6528,wind,0,53453463,26329079
,,,,,12561,wind,0,53478368,26316197
,,,,,4736,wind,0,53580052,26237759
,,,,,8667,solar,0,54087447,26207562
,,,,,13521,wind,0,54212727,26135905
,,,,,14441,solar,0,54706727,26103831
,,,,,12021,wind,0,54771699,26065884
,,,,,15242,wind,0,54790575,26055439
,,,,,10848,solar,0,55263770,26024784
