Episode,Total Reward,Total Cost,Invalid Actions,Epsilon,Cell Index,Action Type,Reward,Energy Output,Unmet Demand
,,,,,2552,wind,0,43116,57144383
,,,,,8632,wind,0,68652,57118847
,,,,,15030,solar,0,548497,56639002
,,,,,5457,wind,0,613348,56574151
,,,,,8548,wind,0,680701,56506798
,,,,,12361,solar,0,1178026,56009473
,,,,,15651,wind,0,1223501,55963998
,,,,,4429,solar,0,1723866,55463633
,,,,,13322,wind,0,1767184,55420315
,,,,,11129,wind,0,1873966,55313533
,,,,,5420,solar,0,2415466,54772033
,,,,,5729,wind,0,2447171,54740328
,,,,,10529,solar,0,2940886,54246613
,,,,,15632,wind,0,2973015,54214484
,,,,,14139,wind,0,2981297,54206202
,,,,,6436,wind,0,3007815,54179684
