Episode,Total Reward,Epsilon,Cell Index,Action Type,Reward,Energy Output,Unmet Demand
,,,350,solar,1,479940,56707559
,,,855,wind,0,508771,56678728
,,,904,wind,0,564956,56622543
,,,1858,wind,0,606345,56581154
,,,2113,solar,1,1084765,56102734
,,,2682,solar,1,1621420,55566079
,,,89,solar,1,2113900,55073599
,,,2767,solar,1,2598210,54589289
,,,199,wind,0,2648556,54538943
,,,1070,wind,0,2701836,54485663
,,,2117,wind,0,2738540,54448959
,,,46,wind,0,2789104,54398395
,,,3265,solar,1,3260114,53927385
,,,1136,wind,0,3364999,53822500
,,,443,wind,0,3391285,53796214
,,,21,wind,0,3473404,53714095
,,,905,solar,1,3955624,53231875
,,,667,wind,0,3984986,53202513
,,,1990,wind,0,4060353,53127146
,,,692,solar,1,4529843,52657656
,,,3003,wind,0,4568613,52618886
,,,2683,solar,1,5100898,52086601
,,,1190,solar,1,5611903,51575596
,,,1937,wind,0,5679907,51507592
,,,805,wind,0,5754678,51432821
,,,2968,wind,0,5774199,51413300
,,,796,solar,1,6305534,50881965
,,,1239,solar,1,6768089,50419410
,,,178,wind,0,6808985,50378514
,,,1176,solar,1,7262230,49925269
,,,2577,solar,1,7747585,49439914
,,,2610,solar,1,8230755,48956744
,,,66,solar,1,8725800,48461699
,,,397,wind,0,8777841,48409658
,,,1945,solar,1,9259301,47928198
,,,47,wind,0,9319117,47868382
,,,2378,wind,0,9383612,47803887
,,,260,wind,0,9423908,47763591
,,,2944,wind,0,9441995,47745504
,,,1359,solar,1,9912055,47275444
,,,3091,wind,0,9957364,47230135
,,,539,wind,0,10049110,47138389
,,,3295,wind,0,10103392,47084107
,,,327,wind,0,10162829,47024670
,,,2879,wind,0,10192096,46995403
,,,2238,wind,0,10210756,46976743
,,,172,solar,1,10701336,46486163
,,,542,solar,1,11233051,45954448
,,,871,wind,0,11267495,45920004
,,,360,solar,1,11744205,45443294
,,,1053,wind,0,11748328,45439171
,,,1956,wind,0,11811697,45375802
,,,2657,solar,1,12315672,44871827
,,,1552,wind,0,12395729,44791770
,,,1932,wind,1,12530082,44657417
,,,1110,wind,0,12562611,44624888
,,,3015,wind,0,12584039,44603460
,,,3005,solar,1,13063124,44124375
,,,264,wind,0,13099778,44087721
,,,558,wind,0,13136620,44050879
,,,2111,solar,1,13625205,43562294
,,,2659,wind,0,13669496,43518003
,,,2926,solar,1,14175371,43012128
,,,3164,wind,0,14209203,42978296
,,,764,solar,1,14750893,42436606
,,,874,wind,0,14784546,42402953
,,,2312,wind,0,14817829,42369670
,,,1448,wind,0,14863556,42323943
,,,3217,wind,0,14888563,42298936
,,,1545,wind,0,14946715,42240784
,,,2663,wind,0,14966020,42221479
,,,651,wind,0,15056769,42130730
,,,690,wind,0,15172097,42015402
,,,2782,solar,1,15648712,41538787
,,,1774,wind,0,15685843,41501656
,,,3120,solar,1,16185353,41002146
,,,1375,wind,0,16237415,40950084
,,,1196,solar,1,16739395,40448104
,,,611,solar,1,17283365,39904134
,,,1364,wind,0,17316548,39870951
,,,343,solar,1,17846553,39340946
,,,339,solar,1,18369528,38817971
,,,921,wind,0,18382995,38804504
,,,1629,solar,1,18887445,38300054
,,,2698,wind,0,18914633,38272866
,,,1477,solar,1,19388778,37805777
,,,2386,solar,1,19883158,37433102
,,,345,solar,1,20407748,37061127
,,,176,solar,1,20892818,36718755
,,,959,solar,1,21402683,36442242
,,,2880,solar,1,21880153,36211564
,,,551,solar,1,22350403,36001181
,,,3146,solar,1,22855518,35758528
,,,2389,wind,0,22881709,35738495
,,,1924,wind,0,22938200,35692874
,,,2582,wind,0,23014276,35632240
,,,1688,wind,0,23071056,35584776
,,,1738,solar,1,23544346,35362673
,,,331,wind,0,23579672,35329850
,,,466,solar,1,24099037,35095407
,,,1275,wind,0,24116925,35079358
,,,367,wind,0,24151920,35047817
,,,798,wind,0,24187476,35016363
,,,2788,wind,0,24201557,35005381
,,,2354,wind,0,24229114,34984286
,,,1320,wind,0,24240279,34974942
,,,1710,wind,0,24272977,34948540
,,,1390,solar,1,24741517,34732607
,,,2826,wind,0,24766702,34711662
,,,1737,wind,0,24829084,34659497
,,,2888,wind,0,24846514,34645821
,,,10,wind,0,24894311,34602157
,,,152,solar,1,25382706,34424255
,,,3203,wind,0,25414181,34399677
,,,2722,wind,0,25443012,34378689
,,,2857,wind,0,25476104,34353664
,,,2916,wind,0,25500098,34335600
,,,2239,wind,0,25506253,34331030
,,,78,solar,0,26001393,34162470
,,,318,wind,0,26034200,34132428
,,,100,wind,0,26071475,34099358
,,,706,wind,0,26111691,34066538
,,,659,wind,0,26146909,34034362
,,,2188,wind,0,26185593,34004573
,,,1288,wind,0,26211558,33983690
,,,2541,solar,1,26695583,33803663
,,,3042,wind,0,26741058,33771137
,,,634,wind,0,26796793,33722416
,,,757,solar,0,27286328,33602777
,,,294,solar,0,27781658,33483902
,,,566,solar,0,28306818,33352729
,,,1684,solar,0,28859908,33206277
,,,2514,solar,0,29407678,33056019
,,,2835,solar,0,29879733,32926503
,,,1488,wind,0,29933372,32886614
,,,957,solar,0,30476772,32746998
,,,83,wind,0,30509349,32717122
,,,2195,wind,0,30551413,32689086
,,,463,wind,0,30632924,32620585
,,,2050,wind,0,30683486,32586778
,,,2427,wind,0,30733695,32550926
,,,1339,solar,0,31285265,32406529
,,,1727,wind,0,31402609,32318372
,,,1908,solar,0,31876184,32191803
,,,2919,wind,0,31889461,32182820
