Episode,Total Reward,Epsilon,Cell Index,Action Type,Reward,Energy Output,Unmet Demand
,,,337,wind,0,46431,57141068
,,,155,wind,0,75145,57112354
,,,1930,wind,0,135717,57051782
,,,2017,wind,0,175119,57012380
,,,2193,wind,0,193292,56994207
,,,979,wind,0,254854,56932645
,,,3268,solar,1,775929,56411570
,,,1657,solar,1,1279334,55908165
,,,2963,wind,0,1320854,55866645
,,,3185,wind,0,1338046,55849453
,,,2185,solar,1,1818176,55369323
,,,3300,solar,1,2333456,54854043
,,,2813,solar,1,2820426,54367073
