Episode,Total Reward,Epsilon,Cell Index,Action Type,Reward,Energy Output,Unmet Demand
,,,3060,solar,96614,498085,56689414
,,,13031,solar,96688,993319,56194180
,,,17644,solar,99765,1501474,55686025
,,,3562,solar,97750,2003834,55183665
,,,12527,wind,31662,2164997,55022502
,,,10931,wind,8403,2223511,54963988
,,,7127,wind,11686,2293275,54894224
,,,2833,wind,2165,2318539,54868960
,,,5845,wind,9320,2384136,54803363
,,,12720,wind,17905,2482325,54705174
,,,5235,wind,20448,2597653,54589846
,,,17443,solar,100032,3108088,54079411
,,,3738,wind,5313,3149163,54038336
,,,2861,solar,97899,3649337,53538162
,,,9536,wind,29904,3800845,53386654
,,,13224,wind,34972,3975549,53211950
,,,15836,wind,3684,4007878,53179621
