Episode,Total Reward,Epsilon,Cell Index,Action Type,Reward,Energy Output,Unmet Demand
,,,7467,solar,108933,508819,56678680
,,,10753,wind,8322,550545,56636954
,,,15431,wind,7429,588250,56599249
,,,7451,wind,-856,588250,56599249
,,,14546,solar,106613,1088900,56098599
,,,10933,wind,11617,1149473,56038026
,,,15928,wind,5295,1177478,56010021
,,,5734,solar,98783,1646113,55541386
,,,3031,solar,105087,2139828,55047671
,,,10624,wind,7018,2178830,55008669
,,,11137,solar,102495,2658390,54529109
,,,5435,wind,6048,2690548,54496951
,,,12924,wind,9059,2736724,54450775
,,,3058,wind,4408,2765614,54421885
,,,12042,solar,102157,3244699,53942800
,,,5946,wind,11335,3306919,53880580
,,,9636,wind,6521,3340458,53847041
,,,10936,wind,28599,3474811,53712688
,,,3350,wind,10505,3526418,53661081
,,,15230,solar,102997,4008258,53179241
,,,9219,wind,10709,4061896,53125603
,,,6037,wind,8149,4107344,53080155
,,,15132,wind,4496,4134094,53053405
,,,8133,wind,8614,4178209,53009290
,,,10716,solar,117306,4727214,52460285
,,,12067,wind,7619,4767869,52419630
,,,4749,wind,7553,4811200,52376299
,,,4418,solar,117188,5357545,51829954
,,,15022,wind,2509,5375263,51812236
,,,5145,solar,101439,5854538,51332961
,,,15424,wind,3227,5876149,51311350
,,,17650,wind,6508,5910690,51276809
,,,8447,solar,99816,6379135,50808364
,,,4346,solar,100116,6851570,50335929
,,,5445,wind,8633,6893810,50293689
,,,5360,wind,7941,6935927,50251572
,,,12261,wind,3644,6958511,50228988
,,,16631,solar,113802,7489466,49698033
,,,12625,wind,14405,7561255,49626244
,,,6258,wind,8316,7605076,49582423
,,,15024,solar,102087,8083591,49103908
,,,6326,wind,8461,8127008,49060491
,,,12250,wind,4052,8152327,49035172
,,,7046,wind,-761,8152758,49034741
,,,12223,wind,26127,8279704,48907795
,,,8629,wind,5971,8310742,48876757
,,,11528,wind,13999,8384948,48802551
,,,15633,wind,5046,8413924,48773575
,,,11325,wind,14238,8483602,48703897
,,,5249,wind,7541,8526159,48661340
,,,2923,wind,8581,8575913,48611586
,,,6127,wind,3092,8595368,48592131
,,,15344,wind,3437,8614888,48572611
,,,12751,wind,7927,8654818,48532681
,,,13864,solar,108598,9162118,48025381
,,,10545,solar,100245,9636548,47550951
,,,7144,wind,-1008,9636922,47550577
,,,7332,wind,9523,9686229,47501270
,,,16659,solar,106651,10185739,47001760
,,,9844,wind,-9,10194731,46992768
,,,14019,wind,8336,10236558,46950941
,,,9959,wind,5615,10267040,46920459
,,,7530,solar,98420,10728075,46459424
,,,2549,solar,106613,11226350,45961149
,,,2945,solar,103516,11711610,45475889
,,,17142,wind,5060,11739570,45447929
,,,6636,wind,5641,11770171,45417328
,,,12956,solar,104606,12259326,44928173
,,,5237,solar,99697,12728816,44458683
,,,7567,solar,108954,13237731,43949768
,,,10036,wind,8949,13282348,43905151
,,,10845,solar,100418,13753738,43433761
,,,3724,solar,112231,14278613,42908886
,,,13333,wind,11698,14335723,42851776
,,,10333,wind,15461,14413122,42774377
,,,15934,wind,5996,14445336,42742163
,,,3555,solar,105062,14937626,42249873
,,,10251,solar,101342,15413006,41774493
,,,7865,wind,10790,15465949,41721550
,,,2737,solar,104561,15955959,41231540
,,,8221,wind,6400,15988949,41198550
,,,9623,wind,11407,16045758,41141741
,,,13024,wind,11594,16102393,41085106
,,,6548,wind,5116,16132731,41054768
,,,4840,solar,99533,16603076,40584423
,,,10366,solar,108954,17111991,40075508
,,,12239,wind,7359,17149380,40038119
,,,4340,solar,99011,17617350,39570149
,,,18353,solar,112423,18142035,39045464
,,,3871,solar,111855,18665200,38522299
,,,4445,solar,88741,19139155,38106502
,,,12442,wind,140,19144377,38101951
,,,7851,wind,2972,19163334,38084545
,,,2854,wind,6164,19200203,38049685
,,,10140,solar,70776,19667698,37713030
,,,11352,wind,8336,19717608,37669118
,,,9452,solar,72390,20195363,37326401
,,,5834,solar,71646,20661908,36988980
,,,10253,wind,5018,20691681,36962272
,,,7930,solar,55029,21165256,36697404
,,,7633,solar,44404,21624581,36481894
,,,16041,solar,50024,22131311,36238465
,,,14239,wind,86,22140038,36231801
,,,14643,solar,49281,22639073,35990766
,,,12147,solar,46609,23120913,35761875
,,,12660,wind,2169,23141846,35745992
,,,14727,wind,4204,23170924,35722945
,,,3622,solar,49197,23700929,35484119
,,,7850,wind,856,23710049,35476330
,,,4151,solar,42181,24197969,35267923
,,,4038,solar,42204,24663469,35059831
,,,7245,wind,-736,24665521,35057779
,,,13035,wind,7335,24711723,35020500
,,,13457,wind,3098,24735243,35002520
,,,12840,wind,8049,24785451,34961998
,,,8148,wind,8076,24837600,34918387
,,,10947,wind,6263,24879673,34884438
,,,5940,wind,23718,25010055,34769845
,,,15434,solar,40518,25500065,34569626
,,,17850,solar,35330,25978675,34395363
,,,11734,wind,7439,26033131,34353364
,,,10145,wind,14005,26120444,34283297
,,,9633,wind,4717,26151983,34257957
,,,6332,wind,11475,26221033,34198714
,,,5035,wind,12845,26293507,34133425
,,,8667,solar,28172,26800902,33991701
,,,3732,wind,11821,26866970,33934112
,,,6125,wind,9736,26926145,33885959
,,,10768,wind,5629,26971867,33855414
,,,11851,wind,2116,26998850,33837648
,,,14823,wind,2173,27020416,33822773
,,,9734,solar,24641,27492186,33697099
,,,3923,wind,9548,27546238,33649821
,,,17943,solar,28737,28070448,33505526
,,,5538,solar,21635,28542978,33390153
,,,15259,wind,3884,28576890,33367541
,,,11225,wind,11558,28653499,33312772
,,,13745,solar,26107,29136669,33180432
,,,6238,wind,19790,29254033,33085190
,,,8245,wind,8132,29309845,33043266
,,,5131,wind,5062,29345063,33012110
,,,3441,solar,21564,29820633,32898920
,,,6735,wind,8560,29873166,32856115
,,,2645,wind,4328,29898486,32832586
,,,5837,wind,4152,29928464,32807942
,,,11147,wind,6451,29977652,32772828
,,,3542,wind,7293,30021494,32734319
,,,15543,wind,2393,30042922,32719542
,,,3460,wind,4349,30076296,32691127
,,,17952,solar,26175,30563741,32557416
,,,3561,solar,23828,31065531,32437184
,,,7323,solar,27196,31594776,32299894
,,,9745,wind,4679,31627831,32275044
,,,11340,wind,6507,31674789,32241531
,,,9249,solar,23084,32134114,32121869
,,,4721,wind,8182,32184479,32077775
,,,9928,wind,10767,32260459,32020688
,,,12758,wind,1822,32279323,32008510
,,,15044,wind,877,32295534,31997439
,,,5434,wind,10852,32359885,31945094
,,,3438,wind,5455,32392172,31916441
,,,5525,wind,4226,32420230,31893337
,,,15426,wind,6183,32466270,31861111
,,,8046,solar,23506,32941555,31740162
,,,3155,wind,5450,32977432,31709695
,,,3831,wind,9170,33029472,31664156
,,,15741,solar,27691,33537437,31524618
,,,10847,wind,9960,33605882,31475680
,,,14921,wind,9062,33671446,31429675
,,,2053,solar,22958,34175991,31309523
,,,15451,wind,1623,34193417,31298248
,,,4933,wind,2863,34212420,31280835
,,,7624,wind,5649,34248530,31251262
,,,12960,solar,27136,34744240,31113182
,,,5455,wind,7178,34791976,31076660
,,,5342,wind,1205,34807090,31063926
,,,11243,wind,6730,34859880,31026211
,,,3644,solar,20590,35334785,30916573
,,,10435,wind,20964,35467180,30817094
,,,6428,wind,20670,35590388,30717115
,,,7446,wind,77,35595006,30712868
,,,2639,solar,18505,36086916,30612707
,,,9848,wind,9293,36156091,30563169
,,,9840,wind,1569,36174483,30549974
,,,10340,solar,15779,36644163,30462453
,,,13119,solar,18903,37182148,30362859
,,,18251,wind,9662,37253077,30315044
,,,6640,wind,6954,37299473,30278475
,,,10026,wind,5516,37340631,30249005
,,,7644,wind,-114,37344291,30245631
,,,10365,wind,4192,37378293,30222680
,,,15134,wind,3043,37408080,30203036
,,,11357,wind,1610,37426589,30191820
,,,3645,wind,7530,37470899,30153988
,,,11452,solar,16515,37948749,30065247
,,,12124,wind,20361,38088796,29970003
,,,17657,solar,16367,38577096,29881937
,,,4624,solar,16985,39108811,29789998
,,,15021,wind,3973,39142367,29767818
,,,3256,solar,15010,39634657,29686456
,,,10746,wind,11774,39719349,29628932
,,,11655,solar,16493,40201854,29540293
,,,15221,wind,3470,40233325,29519519
,,,7441,wind,1482,40250265,29505699
,,,14123,solar,16439,40746545,29417305
,,,6429,wind,6649,40792845,29383187
,,,9832,wind,4270,40830378,29358359
,,,3023,wind,8499,40877828,29319716
,,,5432,wind,5964,40922759,29286585
,,,13763,solar,10894,41428919,29223397
,,,6542,wind,3547,41458652,29201251
,,,13824,wind,8058,41528956,29158562
,,,14119,solar,11640,42061241,29090917
,,,11227,wind,7615,42126008,29050715
,,,3072,solar,8695,42650123,28992769
,,,11555,solar,9829,43134908,28934419
,,,14850,wind,2856,43167425,28916040
,,,13222,wind,23918,43347950,28803383
,,,9960,solar,9923,43847270,28743546
,,,14733,solar,9221,44326830,28683579
,,,14134,wind,-737,44335579,28678748
,,,11142,solar,9772,44810959,28620842
,,,18053,wind,4579,44850968,28596133
,,,8023,wind,3349,44879903,28577014
,,,4843,wind,1631,44895267,28563577
,,,3643,wind,5093,44929303,28535509
,,,10342,wind,9162,45001411,28487799
,,,12948,wind,6633,45058733,28452248
,,,16538,solar,10871,45568123,28389162
,,,11517,solar,11778,46109908,28321955
,,,3025,solar,8445,46624713,28267770
,,,9251,wind,2431,46649089,28252783
,,,6748,wind,4728,46683330,28227393
,,,3328,solar,7770,47185785,28176028
,,,10551,wind,2826,47214625,28158203
,,,7740,solar,7928,47678890,28106121
,,,4652,wind,5935,47721230,28072948
,,,11241,wind,10502,47806115,28020214
,,,14749,wind,-2,47816734,28014830
,,,11730,wind,24468,48005279,27897023
,,,2937,wind,8574,48057996,27854192
,,,5719,wind,6105,48104037,27822548
,,,10039,wind,7664,48163293,27783336
,,,11735,solar,10683,48650548,27723229
,,,18056,wind,6495,48704552,27689810
,,,10323,wind,9603,48779620,27640139
,,,10322,wind,9988,48854124,27590843
,,,7345,wind,-320,48857725,27587781
,,,13220,wind,6093,48904818,27556147
,,,10444,wind,3952,48938858,27533616
,,,14523,wind,7269,48999819,27496638
,,,2830,solar,7834,49496289,27445853
,,,11319,wind,9673,49567624,27397946
,,,3129,solar,7679,50065709,27346996
,,,7743,solar,8776,50543179,27293433
,,,6950,wind,1346,50557777,27283419
,,,14240,solar,10517,51047312,27222192
,,,12759,wind,1542,51068100,27210845
,,,4420,solar,9735,51605705,27152922
,,,8252,wind,3479,51639752,27133190
,,,7718,solar,4250,52189137,27100201
,,,5728,wind,7000,52241524,27063423
,,,11224,wind,9235,52321912,27016444
,,,5548,wind,8605,52387245,26970678
,,,12335,solar,3132,52871935,26938941
,,,12334,wind,2427,52894995,26925677
,,,10321,wind,7981,52959364,26885504
,,,8053,wind,1269,52976463,26875797
,,,13636,wind,5575,53029752,26845458
,,,15624,wind,3351,53067287,26824163
,,,9150,wind,2014,53090101,26811070
,,,12158,wind,1485,53111016,26800424
,,,16341,wind,9133,53186252,26755011
,,,3230,wind,4041,53214879,26732155
,,,9927,wind,4665,53253336,26708176
,,,3844,wind,4441,53286373,26682010
,,,11746,wind,4099,53332576,26655080
,,,14757,wind,2831,53364322,26638317
,,,12740,wind,4543,53406533,26613732
,,,13440,wind,3940,53445035,26591884
,,,9025,solar,4318,53959555,26558583
,,,1657,solar,2335,54466285,26530046
,,,11037,wind,9146,54544158,26484538
,,,15029,wind,3011,54575401,26466913
,,,3342,wind,3058,54598614,26448095
,,,9744,wind,576,54609425,26441359
