Episode,Total Reward,Epsilon,Cell Index,Action Type,Reward,Energy Output,Unmet Demand
,,,11245,wind,7288,41314,57146185
,,,3471,solar,111792,564194,56623305
,,,7244,wind,233,571276,56616223
,,,7231,wind,4887,599762,56587737
,,,15524,wind,5715,632681,56554818
,,,2946,solar,103791,1118131,56069368
,,,3625,wind,8604,1162161,56025338
,,,16435,solar,110249,1676966,55510533
,,,4444,wind,4204,1708365,55479134
,,,17951,solar,104335,2196285,54991214
,,,10545,wind,11035,2255483,54932016
,,,1755,wind,8732,2303280,54884219
,,,2970,wind,17004,2387657,54799842
,,,14829,wind,3293,2408066,54779433
,,,13245,wind,6545,2441714,54745785
,,,13215,solar,118860,2995659,54191840
,,,5320,solar,115566,3537634,53649865
,,,10525,solar,108938,4050729,53136770
,,,12067,solar,108549,4559929,52627570
,,,14057,wind,5364,4588208,52599291
,,,12119,wind,17048,4669638,52517861
,,,9644,wind,1864,4686856,52500643
,,,5040,wind,18654,4779391,52408108
,,,13315,solar,118417,5332386,51855113
,,,1653,solar,109136,5842631,51344868
,,,15052,wind,7622,5881173,51306326
,,,16734,solar,112841,6407758,50779741
,,,17641,wind,6768,6445423,50742076
,,,12736,solar,105435,6940468,50247031
,,,10326,wind,22987,7049351,50138148
,,,11753,wind,7106,7087674,50099825
,,,10867,wind,8671,7130986,50056513
,,,2932,solar,105062,7623276,49564223
,,,13461,wind,4918,7649528,49537971
,,,4843,wind,2571,7664893,49522606
,,,15426,solar,103215,8148158,49039341
,,,7542,wind,3899,8171901,49015598
,,,15137,wind,3633,8196162,48991337
,,,6546,wind,6596,8233227,48954272
,,,12855,solar,103955,8720482,48467017
,,,11051,wind,7143,8759223,48428276
,,,7447,wind,3067,8777060,48410439
,,,8317,solar,118735,9330435,47857064
,,,12160,wind,4235,9355707,47831792
,,,14462,wind,5936,9386585,47800914
,,,5568,wind,12961,9449357,47738142
,,,3130,solar,105304,9944687,47242812
,,,7942,wind,6417,9977752,47209747
