Episode,Total Reward,Epsilon,Cell Index,Action Type,Reward,Energy Output,Unmet Demand
,,,1556,solar,0,509770,56677729
,,,9366,wind,0,551352,56636147
,,,13430,wind,0,592027,56595472
,,,15927,wind,0,625103,56562396
,,,3071,solar,1,1146938,56040561
,,,1556,solar,-2,1146938,56040561
,,,15226,wind,0,1178921,56008578
,,,1556,solar,-2,1178921,56008578
,,,1556,solar,-2,1178921,56008578
,,,1556,solar,-2,1178921,56008578
,,,15237,wind,0,1209484,55978015
,,,9240,wind,0,1285615,55901884
,,,1556,solar,-2,1285615,55901884
,,,1556,solar,-2,1285615,55901884
,,,8248,wind,0,1317513,55869986
,,,1556,solar,-2,1317513,55869986
,,,14259,solar,0,1815028,55372471
,,,4055,wind,0,1841314,55346185
,,,14952,solar,0,2331134,54856365
,,,10632,wind,0,2368802,54818697
,,,12546,wind,0,2433058,54754441
,,,1556,solar,-2,2433058,54754441
,,,1556,solar,-2,2433058,54754441
,,,1556,solar,-2,2433058,54754441
,,,9425,wind,0,2518686,54668813
,,,1556,solar,-2,2518686,54668813
,,,1556,solar,-2,2518686,54668813
,,,2538,wind,0,2546175,54641324
,,,1556,solar,-2,2546175,54641324
,,,1556,solar,-2,2546175,54641324
,,,3562,solar,0,3048535,54138964
,,,1556,solar,-2,3048535,54138964
,,,7846,wind,0,3069448,54118051
,,,1556,solar,-2,3069448,54118051
,,,4038,wind,0,3126130,54061369
,,,15548,solar,0,3623170,53564329
,,,10252,solar,0,4104155,53083344
,,,10927,wind,0,4160645,53026854
,,,1556,solar,-2,4160645,53026854
,,,1556,solar,-2,4160645,53026854
,,,1556,solar,-2,4160645,53026854
,,,4155,solar,0,4656545,52530954
,,,1556,solar,-2,4656545,52530954
,,,9522,wind,0,4715035,52472464
,,,1556,solar,-2,4715035,52472464
,,,1556,solar,-2,4715035,52472464
,,,10148,wind,0,4773686,52413813
,,,8621,solar,1,5316326,51871173
,,,4919,wind,0,5364737,51822762
,,,17648,wind,0,5389492,51798007
,,,1556,solar,-2,5389492,51798007
,,,1556,solar,-2,5389492,51798007
,,,14829,wind,0,5409900,51777599
,,,1556,solar,-2,5409900,51777599
,,,1556,solar,-2,5409900,51777599
,,,13763,solar,0,5916060,51271439
,,,14362,solar,0,6419085,50768414
,,,1556,solar,-2,6419085,50768414
,,,8026,wind,0,6464262,50723237
,,,1556,solar,-2,6464262,50723237
,,,14638,wind,0,6481082,50706417
,,,1556,solar,-2,6481082,50706417
,,,12053,solar,0,6960357,50227142
,,,6125,solar,1,7473547,49713952
,,,5569,solar,1,7996902,49190597
,,,2345,solar,0,8498312,48689187
,,,15326,wind,0,8542183,48645316
,,,15634,wind,0,8578469,48609030
,,,11947,wind,0,8626750,48560749
,,,8717,wind,0,8682468,48505031
,,,15835,wind,0,8712215,48475284
,,,5340,wind,0,8765017,48422482
,,,1556,solar,-2,8765017,48422482
,,,8042,solar,0,9242012,47945487
,,,1556,solar,-2,9242012,47945487
,,,1556,solar,-2,9242012,47945487
,,,6421,solar,1,9783892,47403607
,,,1556,solar,-2,9783892,47403607
,,,10634,wind,0,9822966,47364533
,,,1556,solar,-2,9822966,47364533
,,,1556,solar,-2,9822966,47364533
,,,3626,wind,0,9847451,47340048
,,,1556,solar,-2,9847451,47340048
,,,1556,solar,-2,9847451,47340048
,,,1556,solar,-2,9847451,47340048
,,,10825,solar,1,10360261,46827238
,,,10627,wind,0,10429866,46757633
,,,4449,wind,0,10472874,46714625
,,,1556,solar,-2,10472874,46714625
,,,1556,solar,-2,10472874,46714625
,,,3628,wind,0,10508612,46678887
,,,11124,wind,0,10596258,46591241
,,,8045,wind,0,10773290,46414209
,,,1556,solar,-2,10773290,46414209
,,,2639,solar,0,11265200,45922299
,,,1556,solar,-2,11265200,45922299
,,,1556,solar,-2,11265200,45922299
,,,10853,wind,0,11290849,45896650
,,,1556,solar,-2,11290849,45896650
,,,3542,wind,0,11334691,45852808
,,,1556,solar,-2,11334691,45852808
,,,5823,wind,0,11409301,45778198
,,,5742,wind,0,11432974,45754525
,,,16045,wind,0,11492817,45694682
,,,1556,solar,-2,11492817,45694682
,,,1556,solar,-2,11492817,45694682
,,,14151,wind,0,11515808,45671691
,,,12436,solar,0,12004773,45182726
,,,12656,solar,0,12495068,44692431
