Episode,Total Reward,Epsilon,Cell Index,Action Type,Reward,Energy Output,Unmet Demand
,,,12943,solar,0,491625,56695874
,,,15825,solar,0,995125,56192374
,,,15548,wind,0,1006767,56180732
,,,12943,solar,-9999999,1006767,56180732
,,,12943,solar,-9999999,1006767,56180732
,,,6928,wind,0,1060047,56127452
,,,12943,solar,-9999999,1060047,56127452
,,,12158,solar,0,1549582,55637917
,,,4327,solar,1,2064102,55123397
,,,15435,wind,0,2089136,55098363
,,,12943,solar,-9999999,2089136,55098363
,,,12943,solar,-9999999,2089136,55098363
,,,10147,wind,0,2162277,55025222
,,,13531,solar,0,2649817,54537682
,,,8639,wind,0,2678859,54508640
,,,10747,wind,0,2738607,54448892
,,,8651,solar,0,3212277,53975222
,,,2345,wind,0,3249320,53938179
,,,5620,wind,0,3281942,53905557
