Episode,Total Reward,Total Cost,Invalid Actions,Epsilon,Cell Index,Action Type,Reward,Energy Output,Unmet Demand
,,,,,11358,wind,0,25872,57161627
,,,,,14025,solar,0,506287,56681212
,,,,,12947,wind,0,536007,56651492
,,,,,10533,wind,0,552922,56634577
,,,,,6343,solar,0,1038182,56149317
,,,,,15650,wind,0,1061760,56125739
,,,,,4524,wind,0,1109445,56078054
,,,,,15234,solar,0,1596320,55591179
,,,,,17754,solar,0,2067330,55120169
,,,,,5549,wind,0,2135119,55052380
,,,,,10347,solar,0,2608409,54579090
,,,,,6742,wind,0,2645708,54541791
,,,,,12138,wind,0,2664368,54523131
,,,,,14431,wind,0,2700156,54487343
,,,,,10036,wind,0,2744773,54442726
,,,,,16137,solar,0,3248748,53938751
,,,,,13145,wind,0,3274381,53913118
,,,,,11832,solar,0,3767241,53420258
,,,,,15961,solar,0,4286511,52900988
,,,,,12131,wind,0,4364431,52823068
,,,,,17641,solar,0,4889781,52297718
,,,,,8667,wind,0,4938881,52248618
,,,,,2969,wind,0,5038055,52149444
,,,,,14263,wind,0,5070756,52116743
,,,,,12744,solar,0,5560861,51626638
,,,,,3620,solar,0,6094666,51092833
,,,,,15421,wind,0,6145933,51041566
,,,,,10627,wind,0,6215537,50971962
,,,,,11618,solar,0,6755707,50431792
,,,,,2735,solar,0,7246382,49941117
,,,,,15833,wind,0,7282710,49904789
,,,,,11023,wind,0,7379990,49807509
,,,,,8232,wind,0,7459587,49727912
,,,,,10139,wind,0,7584388,49603111
,,,,,14440,solar,0,8076108,49111391
,,,,,15259,solar,0,8583028,48604471
,,,,,14818,wind,0,8608213,48579286
,,,,,14051,solar,0,9096133,48091366
,,,,,12434,wind,0,9109822,48077677
,,,,,3555,solar,0,9602112,47585387
,,,,,6426,solar,0,10102667,47084832
,,,,,8731,wind,0,10144177,47043322
,,,,,15532,wind,0,10178471,47009028
,,,,,13553,wind,0,10193116,46994383
,,,,,15737,wind,0,10223879,46963620
