Episode,Total Reward,Epsilon,Cell Index,Action Type,Reward,Energy Output,Unmet Demand
,,,4251,wind,1075,24139,57163360
,,,5249,solar,94578,513294,56674205
,,,15623,solar,98180,1015749,56171750
,,,4822,solar,105934,1553449,55634050
,,,11251,solar,92835,2033294,55154205
,,,6664,solar,98549,2536984,54650515
,,,10937,wind,13879,2615812,54571687
,,,17650,wind,3937,2650354,54537145
,,,13936,wind,-200,2667557,54519942
,,,12320,wind,9540,2727724,54459775
,,,11342,wind,9232,2787555,54399944
,,,7324,solar,102732,3309200,53878299
,,,17750,wind,1731,3333713,53853786
,,,4669,wind,15786,3420887,53766612
,,,10943,wind,4922,3462188,53725311
,,,15356,wind,1553,3484829,53702670
,,,5266,wind,10230,3546911,53640588
,,,10845,wind,22743,3667595,53519904
,,,14931,wind,3750,3702758,53484741
,,,5221,wind,7624,3755117,53432382
,,,5360,wind,5370,3797233,53390266
,,,11056,wind,1596,3820069,53367430
,,,17044,wind,2074,3845076,53342423
,,,4629,wind,1158,3865922,53321577
,,,10652,solar,93662,4346337,52841162
,,,15459,wind,4204,4381026,52806473
,,,17341,solar,102261,4903716,52283783
,,,9566,solar,99994,5412916,51774583
,,,7519,wind,7086,5460705,51726794
,,,1958,solar,97667,5961450,51226049
,,,9622,solar,105094,6493830,50693669
,,,12659,solar,96500,6988210,50199289
,,,15636,wind,2587,7016693,50170806
,,,12638,wind,2104,7043502,50143997
,,,2053,solar,98503,7548047,49639452
,,,7821,wind,6753,7594323,49593176
,,,13032,solar,97319,8091363,49096136
,,,4569,wind,16791,8183110,49004389
,,,17343,wind,1335,8204758,48982741
,,,12260,solar,96246,8699043,48488456
,,,5325,solar,103506,9224203,47963296
,,,6027,wind,8304,9278592,47908907
,,,10546,wind,9591,9341286,47846213
,,,3033,wind,1897,9366393,47821106
,,,14025,solar,93331,9846808,47340691
,,,2060,solar,98117,10348978,46838521
,,,11858,wind,-2,10364544,46822955
,,,9428,wind,11260,10433431,46754068
,,,15425,wind,3503,10467220,46720279
,,,7345,solar,92926,10945355,46242144
,,,4831,wind,21928,11063615,46123884
,,,16541,wind,2682,11091386,46096113
,,,5355,wind,5302,11131070,46056429
,,,6529,wind,12668,11205294,45982205
,,,13053,wind,234,11221940,45965559
,,,14830,solar,91914,11695040,45492459
,,,5757,wind,7516,11745848,45441651
,,,10739,wind,14392,11827008,45360491
,,,7137,wind,10960,11893472,45294027
,,,3144,wind,4720,11931408,45256091
,,,14536,solar,93397,12415718,44771781
,,,15438,wind,2752,12444870,44742629
,,,15420,solar,102314,12964615,44222884
,,,3645,solar,91619,13439995,43747504
,,,5922,solar,106679,13980640,43206859
,,,9950,wind,11380,14051295,43136204
,,,15326,solar,93774,14532660,42654839
,,,2832,wind,2672,14560227,42627272
,,,4255,solar,97152,15056507,42130992
,,,2159,solar,97800,15555732,41631767
,,,10835,wind,17992,15654757,41532742
,,,9535,wind,22516,15772683,41414816
,,,10632,wind,3981,15810351,41377148
,,,5244,wind,4681,15851130,41336369
,,,4840,wind,799,15875153,41312346
,,,7832,solar,89733,16337708,40849791
,,,16646,wind,4134,16372079,40815420
,,,15149,wind,8715,16430280,40757219
,,,15649,wind,-80,16445494,40742005
,,,8151,wind,4778,16483857,40703642
,,,5349,solar,96094,16973202,40214297
,,,16529,wind,8609,17028074,40159425
,,,16536,wind,2560,17055293,40132206
,,,3841,solar,90562,17526873,39660626
,,,7334,solar,86626,17978313,39209186
,,,5634,wind,23061,18104669,39082830
,,,10253,wind,3122,18134442,39053057
,,,11430,wind,19897,18247095,38940404
,,,11427,solar,98762,18750595,38436904
,,,15858,solar,99702,19258465,37929034
,,,14636,solar,81791,19747335,37505551
,,,14846,wind,-1948,19760080,37494320
,,,10343,wind,6153,19812059,37446780
,,,14637,wind,-299,19829324,37431499
,,,9649,wind,-1694,19842123,37420103
,,,8768,solar,68325,20350943,37053352
,,,8422,wind,6488,20400222,37008280
,,,11033,wind,39706,20621255,36809052
,,,13251,wind,764,20643099,36789999
,,,12915,wind,12309,20721439,36718310
,,,5569,solar,70355,21244794,36342771
,,,5470,wind,11723,21320822,36272999
,,,6069,wind,11494,21397812,36204272
,,,11766,solar,52554,21906347,35909650
,,,13045,wind,612,21930555,35890223
,,,10842,wind,2789,21966606,35861176
,,,11418,solar,44789,22505446,35602910
,,,14341,solar,39846,23000111,35364736
,,,13818,wind,4368,23042909,35329139
,,,7865,solar,40278,23548784,35091378
,,,8947,wind,3049,23584165,35061777
,,,11431,solar,40304,24081300,34824960
,,,10529,solar,39419,24575015,34588215
,,,15131,wind,940,24602177,34566699
,,,14749,wind,-1789,24612795,34558900
,,,6037,wind,4831,24658243,34518810
,,,15221,solar,38160,25163738,34289614
,,,15126,solar,26453,25641683,34114692
,,,6735,solar,22809,26089893,33956334
,,,14821,wind,25235,26264050,33823763
,,,12132,wind,6099,26325939,33776048
,,,3168,solar,27247,26842454,33596454
,,,12338,wind,1366,26872384,33573439
,,,5836,wind,5172,26916940,33535092
,,,3970,solar,27428,27436970,33355741
,,,8647,wind,1942,27467456,33331253
,,,9939,wind,-263,27487977,33315649
,,,3852,solar,12506,27975802,33204123
,,,11029,wind,7576,28051933,33149695
,,,14540,wind,387,28080291,33129977
,,,9929,wind,10458,28170292,33062350
,,,4839,wind,3326,28201831,33034333
,,,7743,solar,14478,28679301,32913846
,,,14924,wind,6451,28743532,32868783
,,,9742,wind,-2975,28751558,32862740
,,,12052,wind,1051,28785778,32840005
,,,14134,wind,-2859,28794527,32834257
,,,16960,solar,17766,29300877,32697761
,,,4053,wind,1652,29328098,32674434
,,,10628,wind,11609,29423383,32606277
,,,6345,wind,7238,29488826,32553044
,,,12257,solar,17034,29977316,32420935
,,,3724,wind,4661,30020270,32383184
,,,11249,solar,15730,30494985,32255943
,,,10643,wind,9628,30580606,32194706
,,,3555,solar,12833,31072896,32080634
,,,5331,wind,5502,31127953,32035794
,,,3848,wind,3047,31163407,32004437
,,,15030,solar,16776,31643252,31872442
,,,9425,wind,10068,31728881,31808092
,,,5635,wind,10138,31803651,31747310
,,,13560,solar,18601,32301261,31608080
,,,6246,wind,1444,32325928,31587681
,,,4739,wind,4076,32365861,31552511
,,,13457,solar,18157,32856251,31415300
,,,15430,solar,17107,33337996,31282863
,,,9746,wind,-3401,33342782,31279226
,,,12748,wind,2806,33386962,31247702
,,,10948,wind,3001,33432620,31215121
,,,14036,wind,1726,33465127,31192470
,,,8022,solar,19212,34003397,31049400
,,,7533,wind,2847,34038736,31020445
,,,6343,wind,1385,34067911,30996445
,,,17143,solar,18541,34574451,30856425
,,,8042,solar,7036,35051446,30769764
,,,13440,solar,7779,35543071,30679725
,,,14952,wind,-1337,35558743,30670224
,,,10768,solar,7762,36070698,30579201
,,,9745,wind,2166,36103752,30555494
,,,3256,solar,5131,36596042,30474131
,,,7025,wind,1130,36623298,30452350
,,,7530,solar,7216,37084333,30364869
,,,8317,wind,2863,37124772,30336276
,,,5722,solar,8708,37665037,30240512
,,,7836,solar,6952,38128542,30154232
,,,3661,wind,1798,38163537,30125728
,,,7952,solar,6877,38643382,30039787
,,,15551,wind,-2101,38653766,30033759
,,,6046,wind,10494,38737102,29968351
,,,10045,wind,6108,38802286,29921658
,,,12431,wind,-2948,38807916,29918085
,,,17457,solar,6654,39287381,29833161
,,,8233,wind,11237,39383465,29764379
,,,12924,wind,3190,39429641,29733075
,,,9467,solar,7460,39940361,29643423
,,,6643,wind,71,39961381,29626455
,,,14521,wind,3921,40013504,29591829
,,,11821,solar,9128,40543414,29493533
,,,8648,wind,1075,40572211,29472904
,,,3028,wind,855,40599633,29449007
,,,15422,wind,10485,40697164,29384105
,,,14930,solar,7087,41173399,29297031
,,,6736,wind,1112,41199166,29276394
,,,6337,wind,5590,41255309,29232215
,,,8221,solar,6550,41798424,29147764
,,,17947,solar,2185,42298789,29083153
,,,12961,wind,-889,42319897,29071617
,,,5570,solar,649,42844772,29012924
,,,15538,solar,1727,43349697,28950396
,,,7750,wind,3615,43396760,28918381
,,,14831,solar,749,43869765,28859234
,,,14254,solar,1948,44358920,28795701
,,,11557,wind,1224,44396323,28774556
,,,14537,wind,-1989,44409513,28766956
,,,6737,wind,-410,44427588,28753242
,,,3619,wind,3577,44478471,28717023
,,,8831,wind,2379,44518392,28690626
,,,10624,wind,1161,44557394,28666502
,,,17144,wind,3733,44608218,28633951
,,,15733,solar,1133,45099938,28572616
,,,7522,wind,-791,45115611,28560633
,,,12522,wind,10400,45221783,28494612
,,,15049,wind,1802,45261985,28471719
,,,4736,wind,13899,45363670,28389774
,,,12960,solar,1593,45859380,28326789
,,,10321,wind,5947,45923749,28284175
,,,11167,solar,1389,46434469,28222119
,,,13726,wind,6243,46511050,28175626
,,,3740,solar,-937,46982630,28126955
,,,1558,wind,4365,47031269,28087442
,,,7624,solar,1309,47549969,28026810
,,,9548,wind,1743,47585190,28003502
,,,4225,solar,165,48108450,27947007
,,,2766,wind,11334,48194866,27879906
,,,12123,wind,1708,48239015,27852572
,,,17344,wind,-75,48262945,27837336
,,,7632,wind,3470,48305391,27805982
,,,5342,wind,-989,48320505,27794401
,,,9249,wind,-3696,48320505,27794401
,,,14844,solar,1527,48822105,27731889
,,,11545,solar,-43,49298340,27673576
,,,4359,wind,8500,49370810,27617234
,,,10825,wind,7106,49450688,27567627
,,,12831,wind,944,49483189,27547594
,,,12060,solar,-4192,49975859,27509849
,,,15637,solar,-5092,50477079,27478320
,,,12124,wind,14962,50617127,27396274
,,,11340,solar,-5196,51092697,27365218
,,,13623,wind,14917,51240453,27280609
,,,2054,solar,-5678,51743193,27251743
,,,3032,solar,-6076,52234818,27223882
,,,5648,wind,5662,52298600,27179203
,,,6021,wind,6888,52365534,27132313
,,,2872,solar,-6437,52889839,27102647
,,,14631,wind,-2381,52902853,27095606
,,,11153,wind,-1054,52925925,27083759
,,,6542,solar,-5845,53408620,27054150
,,,11945,solar,-6003,53888750,27022509
,,,10442,wind,5235,53951811,26983154
,,,2728,wind,549,53976778,26963032
,,,12519,wind,4423,54033506,26927186
,,,11528,wind,6116,54107712,26883825
,,,15556,solar,-4864,54606747,26851258
,,,13060,solar,-4708,55102647,26817982
,,,6257,wind,1634,55140259,26793912
,,,5134,wind,4880,55193178,26752739
,,,12559,wind,-953,55217069,26740430
,,,12850,solar,-5114,55701474,26708747
,,,4039,wind,2279,55738012,26679964
,,,7121,wind,6228,55800664,26636074
,,,14763,wind,689,55835922,26617360
,,,12250,wind,-1203,55861241,26604249
,,,13922,wind,13110,55992891,26528917
,,,4740,wind,1764,56023913,26504256
,,,13855,wind,-838,56046641,26492490
,,,13745,wind,-2273,56056558,26487244
,,,12925,wind,39,56085886,26470262
,,,6668,solar,-5477,56611996,26439420
,,,15140,wind,-996,56635991,26425996
,,,11936,wind,-3532,56639718,26424191
,,,3556,solar,-6184,57133718,26396734
,,,9935,wind,2528,57177353,26369504
,,,5444,wind,2458,57217958,26340876
1,4933936.47215904,0.9,,,,,
,,,12840,wind,7583,50208,57137291
,,,12462,solar,97796,550478,56637021
,,,5835,wind,1407,579310,56608189
,,,14063,solar,98423,1082430,56105069
,,,6041,wind,2081,1111371,56076128
,,,7323,wind,4013,1145192,56042307
,,,16258,wind,5877,1187488,56000011
,,,11451,solar,92396,1665338,55522161
,,,12247,solar,93333,2148508,55038991
,,,8448,wind,3489,2181610,55005889
,,,13657,wind,2103,2206750,54980749
,,,13937,solar,93833,2689445,54498054
,,,10248,wind,9326,2751827,54435672
,,,3733,wind,4038,2785602,54401897
,,,6649,solar,94824,3273427,53914072
,,,11342,wind,9232,3333259,53854240
,,,12647,wind,6715,3383611,53803888
,,,9951,wind,-1268,3395627,53791872
,,,11052,wind,4307,3432289,53755210
,,,7952,solar,93536,3912134,53275365
,,,3032,solar,95797,4403759,52783740
,,,16060,wind,5560,4446739,52740760
,,,14238,solar,95112,4936749,52250750
,,,15454,solar,96755,5431224,51756275
,,,8246,solar,91961,5906034,51281465
,,,12838,solar,96371,6400889,50786610
,,,7329,wind,3353,6431711,50755788
,,,5845,wind,10095,6497308,50690191
,,,6325,wind,6599,6542887,50644612
,,,5947,wind,7466,6592402,50595097
,,,3528,solar,98507,7095902,50091597
,,,6069,wind,13311,7172892,50014607
,,,12320,wind,9540,7233059,49954440
,,,7432,wind,4503,7270169,49917330
,,,15138,wind,26,7289230,49898269
,,,9863,wind,5218,7328528,49858971
,,,7521,wind,4106,7362772,49824727
,,,5130,wind,13144,7441286,49746213
,,,2755,wind,4823,7480757,49706742
,,,7130,wind,4982,7521108,49666391
,,,6745,wind,-3097,7523670,49663829
,,,3530,solar,96985,8019190,49168309
,,,5548,wind,9982,8084522,49102977
,,,13050,wind,-2023,8090903,49096596
,,,9742,wind,-2660,8098930,49088569
,,,14827,wind,3288,8129615,49057884
,,,3930,wind,8417,8183298,49004201
,,,4038,wind,8416,8239980,48947519
,,,18247,wind,10573,8305125,48882374
,,,14119,wind,6416,8351094,48836405
,,,8767,solar,99364,8858489,48329010
,,,5819,wind,11218,8925061,48262438
,,,12650,wind,7960,8976823,48210676
,,,11460,wind,2745,9004882,48182617
,,,15727,wind,2411,9033085,48154414
,,,16253,wind,7830,9086384,48101115
,,,3923,wind,8481,9140437,48047062
,,,5636,wind,29421,9289128,47898371
,,,4044,wind,2206,9319678,47867821
,,,5150,solar,94978,9810828,47376671
,,,17954,wind,7048,9859946,47327553
,,,9639,wind,9048,9917919,47269580
,,,13824,wind,11536,9988222,47199277
,,,6431,wind,12449,10062516,47124983
,,,5619,solar,108079,10609526,46577973
,,,7635,wind,6278,10654706,46532793
,,,14757,wind,3556,10686453,46501046
,,,2923,solar,101857,11210758,45976741
,,,2962,wind,6271,11256969,45930530
,,,3560,solar,96683,11755624,45431875
,,,14440,wind,538,11776654,45410845
,,,15223,wind,18961,11880957,45306542
,,,4919,solar,106905,12424927,44762572
,,,10441,wind,11351,12494640,44692859
,,,10946,wind,15708,12586592,44600907
,,,14553,solar,94874,13072517,44114982
,,,6021,wind,11298,13139451,44048048
,,,6227,wind,8890,13197567,43989932
,,,15258,wind,3902,13230885,43956614
,,,17257,wind,4853,13268525,43918974
,,,15841,wind,2011,13294310,43893189
,,,3927,wind,4813,13331609,43855890
,,,5244,wind,4609,13372388,43815111
,,,14330,wind,3708,13409737,43777762
,,,4342,wind,2069,13437125,43750374
,,,14149,wind,-1064,13447867,43739632
,,,12759,solar,96500,13942247,43245252
,,,10641,solar,91515,14414777,42772722
,,,9367,solar,99894,14925022,42262477
,,,9828,wind,3834,14962540,42224959
,,,13918,wind,3327,14993402,42194097
,,,7927,wind,1126,15016225,42171274
,,,6025,wind,7020,15063716,42123783
,,,9425,wind,14749,15149344,42038155
,,,2569,wind,20651,15261797,41925702
,,,3727,solar,99994,15770997,41416502
,,,4155,wind,2810,15799350,41388149
,,,5435,wind,3124,15831508,41355991
,,,6442,solar,94129,16316863,40870636
,,,4649,solar,94297,16804498,40383001
,,,12562,wind,2769,16832665,40354834
,,,5270,wind,15209,16918281,40269218
,,,10144,solar,89438,17383876,39803623
,,,9251,wind,1900,17408253,39779246
,,,5454,wind,6235,17452176,39735323
,,,4645,wind,3710,17488785,39698714
,,,9024,solar,103318,18013090,39174409
,,,12048,wind,10365,18076289,39111210
,,,11830,wind,25454,18214529,38972970
,,,11462,wind,4263,18250550,38936949
,,,15724,solar,97583,18750915,38436584
,,,10956,wind,1144,18771698,38415801
,,,2536,solar,96508,19266553,37920946
,,,13854,wind,2851,19295096,37892403
,,,14948,wind,-1460,19307865,37879634
,,,12258,solar,95814,19798065,37389434
,,,11125,wind,9753,19862890,37324609
,,,3243,wind,4639,19900462,37287037
,,,15649,solar,92082,20395697,36813803
,,,6244,wind,8164,20452499,36758841
,,,9948,wind,9408,20515902,36698211
,,,13963,solar,69074,21019877,36328497
,,,2745,solar,63567,21512832,35984879
,,,2852,solar,62239,22001227,35644917
,,,9960,wind,2116,22030512,35618653
,,,5434,solar,43571,22499812,35366173
,,,16639,solar,41925,23012622,35120923
,,,12753,solar,38818,23494842,34889799
,,,11934,solar,38939,23983237,34656292
,,,7530,wind,1743,24009669,34632790
,,,14345,wind,-3065,24013442,34630083
,,,9750,wind,-541,24032723,34614613
,,,13623,wind,22267,24180478,34496598
,,,3124,wind,5200,24220790,34459268
,,,9424,solar,43142,24743670,34209366
,,,7419,solar,44311,25293340,33953273
,,,5521,wind,3313,25330679,33920257
,,,8128,wind,4138,25374352,33883741
,,,17946,wind,3251,25411587,33853384
,,,4445,wind,6252,25458639,33809934
,,,8650,wind,-1815,25468125,33802447
,,,8431,wind,-489,25487691,33786086
,,,9366,solar,40431,25996226,33547008
,,,12738,solar,29052,26489751,33360275
,,,5019,solar,30209,27034196,33169518
,,,8630,wind,5942,27087817,33126493
,,,8229,wind,5702,27140626,33084112
,,,15225,wind,2525,27177635,33056081
,,,2831,wind,2321,27207045,33029045
,,,14017,wind,4289,27251336,32993808
,,,9566,solar,24423,27760536,32828113
,,,12847,solar,16534,28247506,32697216
,,,5732,wind,9201,28322254,32636453
,,,6346,wind,7550,28385747,32584806
,,,12849,solar,16388,28870532,32453513
,,,2967,wind,14144,28965611,32373639
,,,3931,solar,14074,29456001,32254988
,,,5044,wind,1231,29479486,32233813
,,,5324,solar,17598,30013386,32099141
,,,4749,wind,5185,30056717,32062487
,,,6046,wind,11331,30140053,31994771
,,,14240,solar,17550,30629588,31859953
,,,15926,solar,18566,31138598,31720881
,,,2457,wind,1016,31161141,31700763
,,,7345,wind,-2930,31164743,31697440
,,,13430,wind,2562,31205417,31668991
,,,12855,wind,854,31236455,31648463
,,,12549,wind,5097,31296545,31608212
,,,11634,wind,3904,31346422,31572600
,,,6941,wind,-2337,31351922,31567644
,,,16241,wind,821,31379963,31547268
,,,11931,wind,9556,31460812,31489468
,,,9222,wind,4571,31509182,31453107
,,,14520,wind,5929,31568932,31408293
,,,12846,wind,2046,31603885,31383410
,,,12042,wind,-1753,31616583,31374577
,,,3759,wind,4544,31659705,31338098
,,,15759,wind,2752,31703226,31308945
,,,10215,wind,7034,31767126,31261392
,,,16239,wind,8256,31839891,31208283
,,,13520,solar,19394,32359066,31065448
,,,2154,wind,7389,32416946,31015378
,,,17142,wind,808,32444906,30995063
,,,7624,solar,17902,32963606,30859010
,,,10348,wind,14942,33073521,30776412
,,,5744,wind,5617,33124739,30734668
,,,5441,wind,3266,33166687,30700409
,,,16156,wind,1525,33198520,30677897
,,,5944,wind,11333,33282361,30609771
,,,9959,wind,1120,33312843,30588037
,,,3256,solar,12224,33805133,30473965
,,,10928,solar,17317,34306163,30337663
,,,10344,wind,7585,34372813,30287575
,,,14736,solar,16557,34865008,30152885
,,,2957,solar,13179,35357108,30035768
,,,12942,wind,4014,35404508,30001939
,,,14764,solar,16375,35917413,29871763
,,,17645,solar,8450,36418633,29778673
,,,15534,wind,-2094,36432947,29769450
,,,7850,wind,-1932,36442066,29762656
,,,4045,solar,5751,36916971,29683542
,,,9422,wind,7550,36986657,29633642
,,,15354,wind,844,37017645,29614223
,,,14626,wind,1473,37051584,29591785
,,,4939,wind,5860,37106382,29545234
,,,5432,wind,3938,37151313,29509799
,,,12630,wind,5340,37210275,29469786
,,,7351,wind,-911,37225812,29458349
,,,13636,wind,4091,37279101,29422950
,,,16944,wind,1344,37310411,29401261
,,,11158,wind,-335,37333312,29387205
,,,17749,solar,6898,37806412,29301170
,,,15736,solar,7779,38302787,29211132
,,,5826,wind,172,38323020,29194771
,,,7923,wind,291,38343957,29177866
,,,8618,wind,3670,38391690,29144098
,,,2737,wind,1006,38415645,29123041
,,,7643,wind,-1631,38426594,29113813
,,,12334,wind,-790,38449653,29098309
,,,12745,wind,4662,38506055,29060034
,,,2538,wind,1571,38533543,29035345
,,,16537,wind,1705,38567237,29012014
,,,14636,solar,8212,39056107,28922634
,,,11821,solar,9128,39586017,28824339
,,,15626,solar,7405,40078022,28734495
,,,8023,wind,1133,40106957,28713766
,,,15259,wind,1031,40140869,28692437
,,,12934,solar,8179,40640759,28600579
,,,15427,wind,2419,40681092,28573843
,,,14844,solar,7555,41182692,28480441
,,,9248,solar,5833,41639737,28397744
,,,13252,wind,955,41671734,28377820
,,,3823,wind,4987,41717831,28338508
,,,17355,wind,2128,41759914,28311131
,,,1755,solar,-1469,42266264,28258885
,,,6950,wind,-1224,42280862,28248871
,,,12958,solar,1729,42773057,28186333
,,,3624,wind,3055,42810685,28155442
,,,8447,solar,-232,43279130,28101198
,,,12461,wind,-401,43305747,28086380
,,,3261,solar,-1245,43806587,28034004
,,,15735,wind,2435,43851364,28006920
,,,2937,wind,6030,43904081,27964090
,,,6331,wind,1522,43934306,27941590
,,,13059,solar,1787,44428591,27878786
,,,3970,solar,427,44948621,27822165
,,,11718,solar,2832,45489266,27754611
,,,5149,wind,7288,45548909,27708157
