Episode,Total Reward,Epsilon,Cell Index,Action Type,Reward,Energy Output,Unmet Demand
,,,3756,solar,0,495234,56692265
,,,14620,wind,0,573540,56613959
,,,2945,solar,0,1058800,56128699
,,,10434,wind,0,1142855,56044644
,,,13741,solar,0,1625740,55561759
,,,17043,solar,0,2130665,55056834
,,,2945,solar,-9999999,2130665,55056834
,,,4439,wind,0,2193277,54994222
,,,5149,solar,0,2682907,54504592
,,,4741,wind,0,2714882,54472617
,,,4338,wind,0,2748667,54438832
,,,2945,solar,-9999999,2748667,54438832
,,,2945,solar,-9999999,2748667,54438832
,,,2945,solar,-9999999,2748667,54438832
,,,2945,solar,-9999999,2748667,54438832
,,,9224,solar,1,3272212,53915287
,,,12360,wind,0,3294408,53893091
,,,9531,solar,0,3774728,53412771
,,,14430,wind,0,3820035,53367464
,,,13737,wind,0,3840673,53346826
,,,3055,wind,0,3877833,53309666
,,,3446,solar,0,4352453,52835046
,,,9531,solar,-9999999,4352453,52835046
,,,9224,solar,-9999999,4352453,52835046
,,,4439,wind,-9999999,4352453,52835046
,,,8931,wind,0,4389705,52797794
,,,17043,solar,-9999999,4389705,52797794
,,,14042,solar,0,4878765,52308734
,,,17043,solar,-9999999,4878765,52308734
,,,4741,wind,-9999999,4878765,52308734
,,,6832,solar,0,5331535,51855964
,,,12360,wind,-9999999,5331535,51855964
,,,11345,wind,0,5403558,51783941
,,,12360,wind,-9999999,5403558,51783941
,,,13741,solar,-9999999,5403558,51783941
,,,10434,wind,-9999999,5403558,51783941
,,,5149,solar,-9999999,5403558,51783941
,,,12431,wind,0,5409188,51778311
,,,12753,solar,0,5891408,51296091
,,,14430,wind,-9999999,5891408,51296091
,,,13737,wind,-9999999,5891408,51296091
,,,14925,wind,0,5928537,51258962
,,,14620,wind,-9999999,5928537,51258962
,,,4338,wind,-9999999,5928537,51258962
,,,4338,wind,-9999999,5928537,51258962
,,,4338,wind,-9999999,5928537,51258962
,,,3055,wind,-9999999,5928537,51258962
,,,8649,wind,0,5958861,51228638
,,,3055,wind,-9999999,5958861,51228638
,,,3055,wind,-9999999,5958861,51228638
,,,3055,wind,-9999999,5958861,51228638
,,,3446,solar,-9999999,5958861,51228638
,,,3756,solar,-9999999,5958861,51228638
,,,3840,wind,0,6003823,51183676
,,,7442,wind,0,6009649,51177850
,,,11734,wind,0,6064106,51123393
,,,13662,solar,0,6567986,50619513
,,,8931,wind,-9999999,6567986,50619513
,,,2872,solar,1,7092291,50095208
,,,12526,wind,0,7214452,49973047
,,,8931,wind,-9999999,7214452,49973047
,,,8931,wind,-9999999,7214452,49973047
,,,6832,solar,-9999999,7214452,49973047
,,,14042,solar,-9999999,7214452,49973047
,,,14042,solar,-9999999,7214452,49973047
,,,16632,wind,0,7262209,49925290
,,,11345,wind,-9999999,7262209,49925290
,,,11345,wind,-9999999,7262209,49925290
,,,5229,wind,0,7330257,49857242
,,,16153,solar,0,7821692,49365807
