Episode,Total Reward,Epsilon,Cell Index,Action Type,Reward,Energy Output,Unmet Demand
,,,31850,wind,992,8938,57178561
,,,39732,wind,1902,21481,57166018
,,,35097,solar,22699,138331,57049168
,,,45108,solar,23418,258981,56928518
,,,32689,solar,23045,378467,56809032
,,,41076,wind,4510,403434,56784065
,,,26493,solar,22794,523372,56664127
,,,19240,wind,701,534993,56652506
,,,15841,wind,1491,547129,56640370
,,,34503,solar,23039,665523,56521976
,,,9513,solar,24042,788477,56399022
,,,26298,solar,23148,910077,56277422
,,,11678,wind,344,917176,56270323
,,,40897,wind,138,926551,56260948
,,,39443,solar,26466,1060525,56126974
,,,55238,wind,1759,1072989,56114510
,,,10140,solar,24643,1203424,55984075
,,,48724,wind,451,1210966,55976533
,,,59892,wind,-1226,1214182,55973317
,,,16105,solar,23490,1336542,55850957
,,,58436,wind,1728,1348335,55839164
,,,58645,wind,3277,1368354,55819145
,,,58510,solar,23990,1491070,55696429
,,,59448,solar,23339,1611578,55575921
,,,64274,wind,818,1619195,55568304
,,,51233,wind,2667,1635784,55551715
,,,25494,wind,686,1645510,55541989
,,,62301,wind,-615,1647672,55539827
,,,14093,solar,22236,1766564,55420935
,,,10337,solar,25863,1896406,55291093
,,,15539,solar,25547,2026199,55161300
,,,10519,solar,23815,2150246,55037253
,,,14651,wind,972,2160203,55027296
,,,58728,solar,24911,2287859,54899640
