Episode,Total Reward,Epsilon,Cell Index,Action Type,Reward,Energy Output,Unmet Demand
,,,9129,wind,0,32556,57154943
,,,15959,solar,1,545176,56642323
,,,10545,solar,1,1019606,56167893
,,,4740,solar,1,1490521,55696978
,,,11249,solar,1,1965236,55222263
,,,15029,wind,0,1996479,55191020
,,,8533,wind,0,2064069,55123430
,,,16056,solar,1,2564054,54623445
,,,10046,wind,0,2650324,54537175
,,,15526,wind,0,2692161,54495338
,,,4425,wind,0,2730172,54457327
,,,10733,wind,0,2830633,54356866
,,,4151,solar,1,3318553,53868946
,,,7832,wind,0,3393366,53794133
,,,15052,wind,0,3431908,53755591
,,,11557,wind,0,3469311,53718188
,,,6640,wind,0,3515707,53671792
,,,3241,solar,1,3993842,53193657
,,,17852,wind,0,4020417,53167082
,,,2629,wind,0,4049468,53138031
,,,11034,wind,1,4191423,52996076
,,,2745,solar,1,4684378,52503121
,,,3144,solar,1,5163748,52023751
,,,16434,solar,1,5681118,51506381
,,,11357,wind,0,5699627,51487872
,,,16156,wind,0,5731461,51456038
