Episode,Total Reward,Epsilon,Cell Index,Action Type,Reward,Energy Output,Unmet Demand
,,,6738,wind,0,13500,57173999
,,,6257,solar,1,505410,56682089
,,,14928,solar,1,979460,56208039
,,,6020,wind,0,1032500,56154999
,,,10546,wind,0,1095195,56092304
,,,12743,solar,1,1586630,55600869
,,,3244,wind,0,1617619,55569880
,,,5336,solar,1,2086634,55100865
,,,5735,wind,1,2268213,54919286
,,,2870,solar,1,2788433,54399066
,,,11553,solar,1,3269133,53918366
,,,5949,wind,0,3326341,53861158
,,,15538,wind,0,3349914,53837585
,,,15022,solar,1,3842204,53345295
,,,11027,solar,1,4348079,52839420
,,,8324,solar,1,4872194,52315305
,,,4226,solar,1,5391559,51795940
,,,4143,solar,1,5867034,51320465
,,,15960,wind,0,5908674,51278825
,,,16255,wind,0,5936722,51250777
,,,4444,wind,0,5968121,51219378
,,,16241,solar,1,6473236,50714263
,,,13257,solar,1,6962676,50224823
,,,9125,solar,1,7477101,49710398
,,,12136,wind,0,7488822,49698677
,,,9848,wind,0,7557997,49629502
,,,12160,solar,1,8051617,49135882
,,,17946,wind,0,8088852,49098647
,,,9636,wind,0,8122391,49065108
,,,15956,wind,0,8148123,49039376
,,,6469,wind,0,8215277,48972222
,,,13327,wind,0,8269874,48917625
