Episode,Total Reward,Epsilon,Cell Index,Action Type,Reward,Energy Output,Unmet Demand
,,,13932,wind,6831,51040,57136459
,,,13918,wind,3327,81903,57105596
,,,15532,solar,94891,568967,56618532
,,,12143,wind,545,589232,56598267
,,,13822,wind,10683,653533,56533966
,,,14334,wind,10144,720635,56466864
,,,14133,wind,5302,758099,56429400
,,,16044,wind,5285,797705,56389794
,,,10115,wind,9728,857506,56329993
,,,5322,wind,4518,895126,56292373
,,,12619,wind,16525,985980,56201519
,,,9327,wind,3421,1020118,56167381
,,,7736,wind,10171,1082995,56104504
,,,11546,wind,6304,1132266,56055233
,,,7851,solar,92679,1608216,55579283
,,,9445,wind,-3656,1611584,55575915
,,,5941,wind,7153,1666478,55521021
,,,2255,wind,9767,1726295,55461204
,,,6345,wind,10362,1791738,55395761
,,,12233,wind,-1618,1804372,55383127
,,,3621,wind,7308,1856533,55330966
,,,11154,solar,94289,2339798,54847701
,,,12748,wind,5590,2383977,54803522
,,,13025,wind,12320,2455720,54731779
,,,11345,wind,12427,2527744,54659755
,,,14337,wind,3500,2562421,54625078
,,,13662,solar,98824,3066301,54121198
,,,16746,wind,1087,3086824,54100675
,,,13761,wind,2986,3115975,54071524
,,,17243,wind,8673,3172041,54015458
,,,3841,wind,7722,3227314,53960185
,,,4325,wind,5871,3270924,53916575
,,,2739,wind,5851,3315066,53872433
,,,11554,solar,94034,3798236,53389263
,,,12632,wind,5044,3836904,53350595
,,,5433,wind,29284,3990694,53196805
,,,9863,solar,98949,4495144,52692355
,,,13922,wind,25500,4626794,52560705
,,,9330,solar,93808,5107874,52079625
,,,8651,wind,2886,5136732,52050767
,,,5557,solar,97027,5632442,51555057
,,,15148,wind,1442,5657936,51529563
,,,6937,wind,3317,5688594,51498905
,,,12321,solar,104898,6222209,50965290
,,,10245,solar,90276,6692934,50494565
,,,11935,wind,1273,6717231,50470268
,,,2871,wind,14360,6802335,50385164
,,,11319,wind,12231,6873669,50313830
,,,4054,solar,96379,7366434,49821065
,,,7621,wind,3811,7399337,49788162
,,,16538,solar,100036,7908727,49278772
,,,8251,wind,5284,7949389,49238110
,,,5645,wind,15869,8040794,49146705
,,,3058,wind,1838,8069684,49117815
,,,9047,wind,226,8088018,49099481
,,,14728,solar,91129,8557983,48629516
,,,16260,solar,101199,9074783,48112716
,,,12542,solar,95898,9565363,47622136
,,,17355,wind,5363,9607445,47580054
,,,14955,wind,2691,9635258,47552241
,,,16859,solar,96462,10128403,47059096
,,,4644,solar,90601,10602168,46585331
,,,8533,wind,10599,10669758,46517741
,,,4549,wind,4144,10705582,46481917
,,,5047,wind,-763,10721856,46465643
,,,13354,wind,625,10740277,46447222
,,,14645,wind,-3024,10745938,46441561
,,,2732,wind,2634,10773331,46414168
,,,3741,wind,10833,10835367,46352132
,,,15841,solar,99447,11343142,45844357
,,,2751,wind,7268,11393725,45793774
,,,8129,wind,12536,11469295,45718204
,,,11766,solar,99614,11977830,45209669
,,,10748,wind,1403,12003504,45183995
,,,10215,wind,10630,12067403,45120096
,,,9350,wind,2455,12095365,45092134
,,,12325,wind,23243,12221006,44966493
,,,4126,solar,102064,12739611,44447888
,,,5229,wind,11152,12807658,44379841
,,,12854,wind,1090,12829256,44358243
,,,8539,solar,87496,13281646,43905853
,,,2931,wind,2465,13309773,43877726
,,,13217,wind,7768,13360824,43826675
,,,15155,wind,3657,13393028,43794471
,,,10827,wind,5818,13440312,43747187
,,,10432,wind,22118,13560841,43626658
,,,4255,wind,2756,13588950,43598549
,,,8767,wind,7325,13638890,43548609
,,,15952,wind,15239,13724801,43462698
,,,2929,solar,97144,14223171,42964328
,,,8230,wind,459,14240840,42946659
,,,11932,solar,95614,14732845,42454654
,,,9130,solar,92282,15206990,41980509
,,,2555,solar,96776,15701560,41485939
,,,12025,solar,98963,16208195,40979304
,,,5846,wind,11196,16275169,40912330
,,,3143,solar,93432,16754539,40432960
,,,11934,solar,95885,17242934,39944565
,,,3032,wind,1073,17264737,39922762
,,,3747,wind,4479,17303876,39883623
,,,8040,solar,90966,17772036,39415463
,,,15062,wind,3719,17805583,39381916
,,,12621,wind,18664,17908284,39279215
,,,11968,wind,7672,17961742,39225757
,,,5928,wind,1620,17986811,39200688
,,,11847,wind,4669,18026975,39160524
,,,14335,wind,9430,18084267,39103232
,,,12523,solar,101644,18603157,38584342
,,,2869,wind,16599,18694188,38493311
,,,16741,solar,100287,19204718,37982781
,,,3645,solar,92248,19680098,37507401
,,,12855,solar,94933,20167353,37020146
,,,2345,solar,75208,20668763,36623610
,,,5547,wind,11508,20743688,36553346
,,,13029,wind,11650,20820098,36484651
,,,6846,wind,-3409,20820180,36484570
,,,10439,solar,62751,21291950,36143594
,,,9844,wind,-2412,21300942,36135389
,,,15235,wind,885,21328210,36111116
,,,5644,wind,2674,21357704,36083375
,,,11733,solar,66254,21849994,35725166
,,,6529,wind,11653,21924218,35655555
,,,10924,wind,8232,21984984,35600946
,,,11145,wind,13899,22074830,35520151
,,,4355,solar,51121,22571395,35233104
,,,14651,wind,-579,22588519,35220160
,,,10921,wind,8379,22654962,35166494
,,,3661,solar,36040,23156752,34943242
,,,6037,wind,4456,23202200,34903152
,,,12247,wind,5130,23255631,34860002
,,,6768,wind,6158,23308466,34815367
,,,10640,wind,14481,23410727,34732743
,,,9741,solar,34434,23866917,34519206
,,,6626,wind,9217,23933395,34460666
,,,5036,wind,20055,24054442,34349677
,,,9923,solar,43093,24579697,34098056
,,,10035,wind,-2144,24586843,34092063
,,,10850,wind,4785,24635626,34054362
,,,15233,wind,1829,24665644,34030565
,,,17642,wind,3435,24706481,33997246
,,,17143,solar,41574,25213021,33752533
,,,12531,wind,1993,25245144,33726668
,,,2631,solar,36855,25741424,33504466
,,,3421,wind,6865,25793119,33456790
,,,10734,wind,2871,25830951,33426294
,,,7643,wind,-1452,25841899,33416256
,,,13952,wind,1270,25871067,33393841
,,,12922,wind,15501,25977710,33307641
,,,12562,solar,40672,26478170,33068089
,,,8530,wind,3453,26516601,33035954
,,,11242,wind,5734,26570990,32992025
,,,4848,wind,7218,26623498,32943607
,,,5447,wind,2882,26655591,32915178
,,,12259,solar,28056,27147881,32731908
,,,10743,wind,6292,27209751,32684208
,,,7750,wind,4968,27256814,32646045
,,,10429,wind,22348,27406282,32526179
,,,17648,wind,816,27431037,32506889
,,,14143,solar,27708,27923327,32326266
,,,14949,wind,-1581,27937154,32316481
,,,16237,wind,2911,27974082,32287666
,,,12065,solar,20662,28480527,32139068
,,,4449,solar,13304,28966357,32025150
,,,7868,solar,16970,29477172,31892272
,,,12042,solar,16220,29956257,31763425
,,,13456,wind,-605,29977516,31749535
,,,8126,wind,704,30002493,31730755
,,,14152,wind,-643,30023501,31717039
,,,2637,solar,13350,30516361,31600176
,,,13637,wind,911,30544954,31580293
,,,3541,solar,12365,31019764,31467284
,,,5145,wind,140,31040223,31448690
,,,5422,solar,17762,31579538,31312652
,,,14844,solar,18221,32081138,31174229
,,,15358,wind,1235,32113011,31153033
,,,5734,solar,13866,32581646,31033357
,,,8431,wind,-346,32601212,31018661
,,,12336,wind,186,32629068,30998887
,,,13520,wind,15170,32742035,30914191
,,,11151,solar,15447,33221405,30786292
,,,5437,solar,11955,33685860,30672890
,,,9248,solar,13956,34142905,30553822
,,,10542,wind,6295,34203782,30508076
,,,4550,wind,2100,34234448,30481889
,,,5149,solar,13314,34724078,30364315
,,,5160,wind,6448,34779869,30317302
,,,9127,wind,7934,34849425,30265035
,,,5360,wind,3194,34891542,30232811
,,,14920,solar,18890,35405397,30091205
,,,7447,wind,-147,35423234,30076296
,,,14820,solar,17035,35941174,29943124
,,,13416,wind,6119,36003827,29898508
,,,12157,solar,7645,36491462,29809080
,,,15835,wind,654,36521209,29789463
,,,12839,wind,5500,36582809,29747660
,,,3453,wind,1354,36609221,29725923
,,,9835,wind,9574,36691963,29666665
,,,16436,wind,949,36720737,29646769
,,,5736,wind,11642,36806719,29579290
,,,3848,wind,3182,36842173,29548774
,,,11442,wind,1989,36881884,29521867
,,,10226,wind,8102,36960411,29465627
,,,5321,wind,2395,36995117,29438098
,,,11357,wind,-959,37013625,29426881
,,,18353,solar,8476,37538310,29333674
,,,11224,wind,7844,37618698,29279089
,,,13860,solar,9113,38117448,29182985
,,,7442,wind,-2742,38123275,29177746
,,,9240,wind,8548,38199406,29123231
,,,12119,solar,9941,38739956,29023364
,,,2558,solar,6076,39235096,28940709
,,,11432,solar,7587,39730046,28848183
,,,3354,wind,1953,39761789,28822222
,,,15859,solar,8022,40274124,28730015
,,,18055,wind,6729,40342589,28683850
,,,1655,wind,7028,40405129,28632231
,,,4651,wind,1624,40434984,28607764
,,,13616,solar,9824,40985509,28508429
,,,13638,wind,1890,41022249,28484097
,,,5521,solar,8105,41563369,28391075
,,,7836,wind,8673,41633380,28336070
,,,10430,wind,8494,41711743,28283845
,,,3272,wind,11859,41805482,28211081
,,,15935,wind,352,41832445,28193900
,,,10627,solar,1668,42338130,28130750
,,,2854,solar,-1790,42829660,28080524
,,,13447,wind,-787,42849969,28068524
,,,7535,solar,-729,43309104,28015661
,,,11659,solar,1116,43800254,27955908
,,,7130,wind,2668,43840605,27926075
,,,15959,solar,1658,44353225,27862798
,,,13316,wind,5138,44413499,27822639
,,,15056,wind,-134,44440218,27807670
,,,6040,solar,-458,44920823,27756623
,,,17952,solar,1235,45408268,27695270
,,,17756,wind,4233,45466243,27659383
,,,10022,wind,3705,45516842,27625896
,,,9349,wind,1820,45557190,27600822
,,,1757,wind,3545,45596343,27568786
,,,12461,wind,-497,45622960,27553968
,,,13262,wind,147,45652050,27537716
,,,9426,wind,539,45680673,27518805
,,,14636,wind,-2391,45694754,27510656
,,,16340,solar,1838,46200059,27447620
,,,11462,solar,1164,46700044,27386588
,,,5847,wind,9689,46780936,27327215
,,,4340,wind,-2963,46787417,27321018
,,,12260,wind,-782,46811111,27307933
,,,11425,solar,1553,47317366,27244631
,,,3355,wind,1483,47345926,27221932
,,,3345,wind,771,47372142,27200001
,,,12133,wind,2819,47416266,27172682
,,,13119,wind,11092,47514761,27106522
,,,16444,wind,6395,47584364,27061873
,,,16241,solar,1555,48089479,26999064
,,,13415,solar,2635,48641904,26931342
,,,10228,wind,4297,48695873,26895649
,,,11855,wind,922,48730901,26875877
,,,16544,wind,10074,48826492,26814505
,,,15449,wind,-2014,48841332,26806580
,,,11418,wind,6031,48905470,26763507
,,,5569,wind,7328,48978709,26713713
,,,15733,solar,1133,49470429,26652378
,,,13059,solar,1787,49964714,26589574
,,,5337,wind,7564,50029639,26541868
,,,4820,wind,3106,50076061,26508811
,,,13548,solar,-1229,50558186,26459723
,,,15455,wind,961,50597632,26438713
,,,10849,wind,4271,50661171,26404844
,,,14743,wind,-2510,50670366,26400048
,,,10366,wind,1364,50707886,26378266
,,,12020,wind,6513,50781356,26331856
,,,2645,wind,1321,50806675,26310428
,,,14545,solar,-4837,51307990,26277991
,,,15124,wind,-1399,51326857,26267551
,,,9549,wind,-113,51356851,26250204
,,,6748,solar,-5827,51842491,26220952
,,,11553,solar,-5575,52323191,26190556
,,,9834,solar,-5023,52791636,26158712
,,,13535,solar,-5048,53285446,26126980
,,,6444,wind,8363,53359513,26075130
,,,5843,wind,3738,53409273,26040181
,,,11023,wind,9110,53506553,25983291
,,,4421,wind,4990,53556954,25944045
,,,4526,solar,-5109,54078124,25912591
,,,3045,solar,-6316,54561294,25885561
,,,12946,solar,-5548,55048264,25854161
,,,7333,wind,-608,55069313,25838971
,,,16153,solar,-5600,55560748,25807375
,,,11352,wind,2077,55610658,25780858
,,,12742,wind,5337,55678851,25741019
,,,3046,wind,3498,55718763,25709699
,,,16056,wind,2713,55766832,25681785
,,,12053,wind,1408,55812275,25657679
,,,5243,wind,468,55837188,25637596
,,,13818,wind,2433,55879986,25610798
,,,2940,wind,2426,55913403,25584347
,,,5323,solar,-5275,56450913,25552585
,,,11049,wind,2019,56501504,25525702
,,,4058,solar,-6073,56998354,25497569
,,,15431,wind,1243,57036059,25476177
,,,5427,solar,-5191,57543644,25445095
1,5040656.88947519,0.9,,,,,
,,,5941,wind,7153,54893,57132606
,,,3644,solar,91404,529798,56657701
,,,10235,wind,18696,631585,56555914
,,,17141,wind,2379,659042,56528457
,,,12456,solar,95480,1147722,56039777
,,,2837,wind,2744,1175615,56011884
,,,7138,wind,3398,1208145,55979354
,,,4636,wind,11100,1278987,55908512
,,,12850,solar,94306,1763392,55424107
,,,12660,wind,710,1784325,55403174
,,,9224,solar,102917,2307870,54879629
,,,3455,wind,3106,2339073,54848426
,,,13244,wind,6040,2382110,54805389
,,,5947,wind,6718,2431625,54755874
,,,16032,wind,3165,2461672,54725827
,,,12160,solar,96099,2955292,54232207
,,,7624,solar,102084,3473992,53713507
,,,14235,wind,-1459,3487346,53700153
,,,10932,wind,9016,3548820,53638679
,,,11022,wind,13061,3625273,53562226
,,,8946,wind,4911,3663336,53524163
,,,15148,wind,1442,3688829,53498670
,,,6664,solar,98549,4192519,52994980
,,,10446,solar,91014,4665999,52521500
,,,4350,solar,94315,5153634,52033865
,,,14441,wind,-1872,5163706,52023793
,,,3472,wind,18278,5263791,51923708
,,,9946,wind,-1270,5277156,51910343
,,,13257,wind,1871,5301241,51886258
,,,16132,solar,98761,5804836,51382663
,,,16734,solar,103819,6331421,50856078
,,,15927,wind,3814,6364497,50823002
,,,6344,wind,3473,6398544,50788955
,,,2737,solar,95539,6888554,50298945
,,,17847,wind,2937,6917484,50270015
,,,7522,solar,105700,7452619,49734880
,,,8749,solar,90798,7920019,49267480
,,,11552,wind,5714,7963947,49223552
,,,10917,solar,107748,8508392,48679107
,,,11967,solar,99548,9017687,48169812
,,,8441,solar,90360,9483092,47704407
,,,7245,wind,-3443,9485144,47702355
,,,5835,wind,1778,9513976,47673523
,,,3553,wind,5440,9554286,47633213
,,,13461,solar,97884,10053891,47133608
,,,17850,solar,93265,10532501,46654998
,,,8331,wind,20932,10647059,46540440
,,,12423,solar,101212,11166044,46021455
,,,12146,solar,93369,11649879,45537620
