Episode,Total Reward,Epsilon,Cell Index,Action Type,Reward,Energy Output,Unmet Demand
,,,1457,wind,0,38062,57149437
,,,631,solar,1,582507,56604992
,,,172,wind,0,605608,56581891
,,,2590,wind,0,629530,56557969
,,,2782,wind,0,663469,56524030
,,,580,wind,0,675328,56512171
,,,736,wind,0,710586,56476913
,,,1721,wind,0,762123,56425376
,,,2464,wind,0,803275,56384224
,,,2056,wind,0,890310,56297189
,,,2733,wind,0,938098,56249401
,,,1364,wind,0,971282,56216217
,,,767,wind,0,1052939,56134560
,,,3017,solar,1,1549979,55637520
,,,2983,wind,0,1575065,55612434
,,,1235,wind,0,1623173,55564326
,,,2877,wind,0,1640890,55546609
,,,2594,wind,0,1667013,55520486
,,,3087,wind,0,1692519,55494980
,,,1527,solar,1,2225849,54961650
,,,758,wind,0,2269772,54917727
,,,1344,wind,0,2335430,54852069
,,,404,solar,1,2810145,54377354
,,,1440,wind,0,2869091,54318408
,,,420,wind,0,2894812,54292687
,,,888,wind,0,2952019,54235480
,,,283,wind,0,2973434,54214065
,,,48,solar,1,3471804,53715695
,,,2912,wind,0,3501591,53685908
,,,363,wind,0,3525908,53661591
,,,945,solar,1,4004233,53183266
,,,2342,wind,0,4056264,53131235
,,,2321,wind,0,4075044,53112455
,,,105,solar,1,4578069,52609430
,,,3046,solar,1,5088789,52098710
,,,2109,wind,0,5153793,52033706
,,,3107,solar,1,5661378,51526121
,,,2299,wind,0,5683574,51503925
,,,1900,solar,1,6161614,51025885
,,,1341,wind,0,6194603,50992896
,,,1955,wind,0,6270734,50916765
,,,1833,wind,0,6299575,50887924
,,,576,wind,0,6339507,50847992
,,,316,solar,1,6863717,50323782
,,,1301,solar,1,7335677,49851822
,,,2757,wind,0,7376675,49810824
,,,858,wind,0,7437359,49750140
,,,1598,wind,0,7442146,49745353
,,,409,wind,0,7541186,49646313
,,,95,solar,1,8037752,49149747
,,,639,wind,0,8110226,49077273
,,,2836,wind,0,8144245,49043254
,,,483,wind,0,8186632,49000867
,,,1686,wind,0,8242514,48944985
,,,2857,solar,1,8716279,48471220
,,,2402,solar,1,9206384,47981115
,,,2471,wind,0,9228551,47958948
,,,1473,wind,0,9258162,47929337
,,,168,solar,1,9756532,47430967
,,,2949,solar,1,10253952,46933547
,,,1185,wind,0,10266018,46921481
,,,1267,wind,0,10329307,46858192
,,,3166,wind,0,10356984,46830515
,,,3218,wind,0,10386094,46801405
,,,743,wind,0,10450445,46737054
,,,2727,wind,0,10487794,46699705
,,,2349,wind,0,10547884,46639615
,,,1742,solar,1,11032004,46155495
,,,298,wind,0,11064290,46123209
,,,250,solar,1,11562850,45624649
,,,2578,solar,1,12053525,45133974
,,,1542,wind,0,12077083,45110416
,,,1723,solar,1,12559588,44627911
,,,1477,wind,0,12587704,44599795
,,,982,wind,0,12637184,44550315
,,,2063,solar,1,13132134,44055365
,,,443,wind,0,13158421,44029078
,,,1199,wind,0,13189936,43997563
,,,1512,wind,0,13224074,43963425
,,,540,wind,0,13270008,43917491
,,,12,wind,0,13309162,43878337
,,,3198,wind,0,13351761,43835738
,,,126,wind,0,13412453,43775046
,,,412,wind,0,13449752,43737747
,,,2339,wind,0,13480742,43706757
,,,1114,solar,1,13960872,43226627
,,,1584,wind,0,13991428,43196071
,,,1261,wind,0,14026069,43161430
