Episode,Total Reward,Epsilon,Cell Index,Action Type,Reward,Energy Output,Unmet Demand
,,,15426,solar,0,483264,56704235
,,,10722,solar,1,1011750,55690603
,,,3528,solar,0,1515250,54172648
,,,10722,solar,-9999999,1515250,52657089
,,,10722,solar,-9999999,1515250,51248516
,,,12758,wind,0,1534113,49919660
,,,10629,wind,0,1611678,48316709
,,,10722,solar,-9999999,1611678,46718115
,,,10722,solar,-9999999,1611678,45276816
,,,10722,solar,-9999999,1611678,43974421
,,,10840,wind,0,1673205,42733309
,,,1754,wind,0,1738570,41016076
,,,10722,solar,-9999999,1738570,39294427
,,,13447,wind,0,1758878,37888062
,,,10722,solar,-9999999,1758878,36344723
,,,10722,solar,-9999999,1758878,35480396
,,,9233,wind,0,1787521,34720136
,,,9349,wind,0,1827868,33634859
