Episode,Total Reward,Epsilon,Cell Index,Action Type,Reward,Energy Output,Unmet Demand
,,,10142,wind,0,98542,57088957
,,,3547,wind,0,133868,57053631
,,,10645,wind,0,178677,57008822
,,,5321,wind,0,213382,56974117
,,,6041,solar,0,695602,56491897
,,,11769,wind,0,768018,56419481
,,,4325,solar,0,1291753,55895746
,,,15029,solar,0,1769318,55418181
,,,8667,solar,0,2276713,54910786
,,,9622,solar,0,2809093,54378406
,,,10165,solar,0,3316963,53870536
,,,12262,solar,0,3816473,53371026
,,,11446,wind,0,3858300,53329199
,,,15742,wind,0,3897032,53290467
,,,17754,wind,0,3963154,53224345
,,,9953,wind,0,3973897,53213602
,,,10124,wind,0,4029779,53157720
,,,4449,wind,0,4072787,53114712
,,,5437,wind,0,4103857,53083642
,,,11858,wind,0,4119423,53068076
,,,12248,wind,0,4125157,53062342
,,,14139,wind,0,4133440,53054059
,,,2851,wind,0,4155658,53031841
,,,16741,solar,0,4666188,52521311
,,,8767,solar,0,5173583,52013916
,,,10846,solar,0,5647158,51540341
,,,10939,solar,0,6123108,51064391
,,,15861,solar,0,6641713,50545786
,,,8245,wind,0,6697524,50489975
,,,4359,wind,0,6769994,50417505
,,,11968,wind,0,6823452,50364047
,,,12250,wind,0,6848770,50338729
,,,5355,solar,0,7342675,49844824
,,,17851,solar,0,7820715,49366784
