Episode,Total Reward,Epsilon,Cell Index,Action Type,Reward,Energy Output,Unmet Demand
,,,2540,solar,0,496090,56691409
,,,5244,wind,0,536869,56650630
,,,16260,wind,0,585265,56602234
,,,2832,solar,0,1078505,56108994
,,,3623,wind,0,1131193,56056306
,,,5036,solar,0,1603058,55584441
,,,11849,wind,0,1614184,55573315
,,,9240,wind,0,1690315,55497184
,,,10926,solar,0,2199515,54987984
,,,12636,solar,0,2692660,54494839
,,,4242,solar,0,3168230,54019269
,,,9759,wind,0,3197182,53990317
,,,4154,solar,0,3690707,53496792
,,,11627,wind,0,3748555,53438944
,,,11226,wind,0,3837546,53349953
,,,4628,solar,0,4343136,52844363
,,,17356,wind,0,4390355,52797144
,,,3421,solar,0,4922165,52265334
,,,4835,solar,0,5392890,51794609
,,,17549,wind,0,5418349,51769150
,,,10551,wind,0,5447189,51740310
