Episode,Total Reward,Epsilon,Cell Index,Action Type,Reward,Energy Output,Unmet Demand
,,,46631,wind,2704,16760,57170739
,,,46632,wind,2960,34153,57153346
,,,32069,wind,553,41096,57146403
,,,11511,wind,-27,49205,57138294
,,,40832,wind,2748,65594,57121905
,,,41092,wind,1297,81374,57106125
,,,13540,wind,4116,105895,57081604
,,,31136,solar,24679,233338,56954161
,,,52244,solar,25604,363393,56824106
,,,19437,wind,1349,377252,56810247
,,,20674,wind,302,391023,56796476
,,,10086,wind,983,399877,56787622
,,,11093,wind,848,407588,56779911
,,,42834,wind,2711,426185,56761314
,,,24537,wind,2623,443029,56744470
,,,39679,wind,-268,447870,56739629
,,,26052,wind,145,455082,56732417
,,,46300,wind,488,465636,56721863
,,,27649,solar,25589,595620,56591879
,,,56667,wind,-1059,600281,56587218
,,,51831,wind,3404,620221,56567278
,,,60453,wind,702,627347,56560152
,,,19100,solar,22826,749944,56437555
,,,43458,wind,1191,766108,56421391
,,,12917,solar,23163,889964,56297535
,,,19439,wind,2122,901801,56285698
,,,21466,wind,5501,931708,56255791
,,,16884,solar,21560,1050030,56137469
,,,52065,solar,24218,1174314,56013185
,,,44665,solar,23375,1297220,55890279
,,,47308,wind,386,1305362,55882137
,,,33466,wind,-24,1313190,55874309
,,,16853,solar,25052,1442651,55744848
,,,44100,wind,1099,1456082,55731417
,,,51916,solar,24037,1579012,55608487
,,,47887,solar,22677,1698950,55488549
,,,34129,solar,24716,1824967,55362532
,,,55303,solar,23570,1946306,55241193
,,,13059,solar,23637,2070780,55116719
,,,10735,solar,25015,2199837,54987662
,,,64459,wind,442,2206847,54980652
,,,48292,wind,1120,2218412,54969087
,,,58670,solar,22844,2339252,54848247
,,,36881,wind,2687,2355895,54831604
,,,12916,solar,25027,2479490,54708009
,,,52028,wind,4120,2502154,54685345
,,,16047,solar,26122,2634560,54552939
,,,61699,wind,-698,2637937,54549562
,,,31452,wind,-355,2641807,54545692
,,,60440,wind,670,2649853,54537646
,,,62051,wind,963,2661265,54526234
,,,14062,solar,24046,2784503,54402996
,,,10845,solar,24227,2915865,54271634
,,,55034,solar,27036,3052427,54135072
,,,49887,wind,-563,3055886,54131613
,,,63055,solar,23815,3179932,54007567
,,,61852,wind,2024,3191473,53996026
,,,49048,wind,1681,3207728,53979771
,,,37928,solar,24794,3334102,53853397
,,,51505,solar,23473,3454466,53733033
,,,23886,wind,1341,3471379,53716120
,,,48637,wind,3065,3489248,53698251
,,,18451,solar,25696,3620253,53567246
