Episode,Total Reward,Total Cost,Invalid Actions,Epsilon,Cell Index,Action Type,Reward,Energy Output,Unmet Demand
,,,,,10942,solar,0,311899,56875600
,,,,,4239,wind,0,389268,56798231
,,,,,12439,wind,0,417972,56769527
,,,,,16358,wind,0,451388,56736111
,,,,,14639,wind,0,469408,56718091
,,,,,5445,wind,0,511648,56675851
,,,,,16443,wind,0,550996,56636503
,,,,,5520,solar,0,867647,56319852
,,,,,15144,wind,0,882360,56305139
,,,,,10236,wind,0,999704,56187795
,,,,,3656,solar,0,1305190,55882309
,,,,,10134,solar,0,1617655,55569844
,,,,,13657,solar,0,1935343,55252156
,,,,,16640,solar,0,2252945,54934554
,,,,,14244,solar,0,2569270,54618229
,,,,,5719,wind,0,2615312,54572187
,,,,,17043,solar,0,2932510,54254989
,,,,,2729,wind,0,2959474,54228025
,,,,,11557,wind,0,2996876,54190623
,,,,,15742,wind,0,3035609,54151890
,,,,,6030,wind,0,3137857,54049642
,,,,,16061,wind,0,3185462,54002037
,,,,,15032,wind,0,3207197,53980302
,,,,,5321,wind,0,3241903,53945596
,,,,,11242,wind,0,3296292,53891207
,,,,,5648,wind,0,3360074,53827425
,,,,,11831,wind,0,3432793,53754706
,,,,,3555,solar,0,3738155,53449344
,,,,,9049,wind,0,3752443,53435056
,,,,,13327,wind,0,3807040,53380459
,,,,,11651,wind,0,3860497,53327002
,,,,,11455,wind,0,3896745,53290754
,,,,,11946,solar,0,4209863,52977636
,,,,,13315,solar,0,4532326,52655173
,,,,,5245,wind,0,4578471,52609028
,,,,,13919,wind,0,4612518,52574981
,,,,,8817,solar,0,4933379,52254120
,,,,,11966,solar,0,5248227,51939272
,,,,,3170,solar,0,5560196,51627303
,,,,,13329,wind,0,5588670,51598829
,,,,,13215,solar,0,5911360,51276139
,,,,,17157,wind,0,5967654,51219845
,,,,,12459,solar,0,6282162,50905337
,,,,,16632,solar,0,6600301,50587198
,,,,,4439,solar,0,6903459,50284040
,,,,,6436,wind,0,6929977,50257522
,,,,,12324,wind,0,6967190,50220309
,,,,,13257,solar,0,7284341,49903158
,,,,,14032,wind,0,7315485,49872014
,,,,,8441,solar,0,7625363,49562136
,,,,,10852,solar,0,7937540,49249959
,,,,,11335,wind,0,8000623,49186876
,,,,,13735,wind,0,8086095,49101404
,,,,,11952,wind,0,8108283,49079216
