Episode,Total Reward,Epsilon,Cell Index,Action Type,Reward,Energy Output,Unmet Demand
,,,15928,solar,0,504260,56683239
,,,7451,wind,0,504260,56683239
,,,13736,solar,0,986670,56200829
,,,12325,wind,0,1112310,56075189
,,,4921,solar,1,1650865,55536634
,,,7451,wind,-9999999,1650865,55536634
,,,7451,wind,-9999999,1650865,55536634
,,,7451,wind,-9999999,1650865,55536634
,,,4940,wind,0,1719009,55468490
,,,7451,wind,-9999999,1719009,55468490
,,,14164,wind,0,1763035,55424464
,,,7451,wind,-9999999,1763035,55424464
,,,7451,wind,-9999999,1763035,55424464
,,,7451,wind,-9999999,1763035,55424464
,,,7451,wind,-9999999,1763035,55424464
,,,7451,wind,-9999999,1763035,55424464
,,,7451,wind,-9999999,1763035,55424464
,,,4921,solar,-9999999,1763035,55424464
,,,15928,solar,-9999999,1763035,55424464
,,,12325,wind,-9999999,1763035,55424464
,,,4452,solar,0,2255040,54932459
,,,4940,wind,-9999999,2255040,54932459
,,,5848,wind,0,2307584,54879915
,,,13736,solar,-9999999,2307584,54879915
,,,3825,solar,1,2827519,54359980
