Episode,Total Reward,Epsilon,Cell Index,Action Type,Reward,Energy Output,Unmet Demand
,,,9639,solar,1,452390,56735109
,,,5235,wind,0,567718,56619781
,,,2931,solar,1,1061908,56125591
,,,8452,wind,0,1085132,56102367
,,,12461,solar,1,1582552,55604947
,,,15333,wind,0,1624072,55563427
,,,11632,wind,0,1689076,55498423
,,,10947,wind,0,1731148,55456351
,,,2750,wind,0,1758038,55429461
,,,6642,solar,1,2240068,54947431
,,,8252,wind,0,2274116,54913383
,,,6237,wind,0,2339865,54847634
,,,15451,wind,0,2357291,54830208
,,,13557,solar,1,2847966,54339533
,,,7625,wind,0,2888022,54299477
,,,7850,wind,0,2897141,54290358
,,,2637,wind,0,2922256,54265243
,,,15132,wind,0,2949006,54238493
,,,5136,wind,0,3017866,54169633
,,,5824,wind,0,3058595,54128904
,,,5338,solar,1,3529035,53658464
,,,11325,solar,1,4038044,53149455
,,,11253,solar,1,4514755,52672744
,,,4640,wind,0,4543081,52644418
,,,5050,solar,1,5034136,52153363
,,,6849,wind,0,5044605,52142894
,,,14124,wind,0,5078549,52108950
,,,10644,wind,0,5151337,52036162
,,,16029,wind,0,5186318,52001181
