Episode,Total Reward,Epsilon,Cell Index,Action Type,Reward,Energy Output,Unmet Demand
,,,15523,solar,0,497325,56690174
,,,15135,solar,0,995410,56192089
,,,9366,wind,0,1036992,56150507
,,,9424,wind,0,1078271,56109228
,,,3822,wind,0,1126404,56061095
,,,14750,wind,0,1161816,56025683
,,,3272,solar,1,1686311,55501188
,,,5266,wind,0,1748393,55439106
,,,1657,wind,0,1792064,55395435
,,,11145,wind,0,1881910,55305589
,,,14362,wind,0,1911494,55276005
,,,7045,solar,0,2390579,54796920
,,,13662,solar,0,2894459,54293040
,,,6123,wind,0,2919824,54267675
,,,14054,wind,0,2945493,54242006
,,,9566,wind,0,2992371,54195128
,,,5724,wind,0,3025508,54161991
