Episode,Total Reward,Epsilon,Cell Index,Action Type,Reward,Energy Output,Unmet Demand
,,,9028,wind,0,105495,57082004
,,,4054,wind,0,134311,57053188
,,,16437,wind,0,212866,56974633
,,,4151,solar,1,700786,56486713
,,,5040,wind,0,793320,56394179
,,,5360,solar,1,1292640,55894859
,,,10026,wind,0,1333799,55853700
,,,5446,wind,0,1363545,55823954
,,,4159,wind,0,1445056,55742443
,,,3053,solar,1,1935921,55251578
,,,12934,wind,0,1968540,55218959
,,,3524,solar,1,2492750,54694749
,,,7351,wind,0,2508287,54679212
,,,10525,wind,0,2557108,54630391
,,,3324,wind,0,2591946,54595553
,,,10568,wind,0,2635693,54551806
,,,3931,wind,0,2704035,54483464
,,,10218,wind,0,2769193,54418306
,,,11432,wind,0,2886326,54301173
,,,16742,solar,1,3393721,53793778
,,,10540,wind,0,3477921,53709578
,,,4541,wind,0,3506088,53681411
,,,13145,wind,0,3531721,53655778
,,,15030,wind,0,3557088,53630411
,,,12321,wind,0,3609638,53577861
,,,14546,wind,0,3616025,53571474
,,,5145,solar,1,4095300,53092199
,,,4835,wind,0,4206857,52980642
,,,4818,solar,1,4754817,52432682
,,,6225,wind,0,4785595,52401904
,,,15759,wind,0,4829117,52358382
,,,10438,wind,0,4923193,52264306
,,,2158,wind,0,4966674,52220825
,,,14634,wind,0,4978957,52208542
,,,2754,wind,0,5015949,52171550
,,,16032,wind,0,5045996,52141503
,,,16255,wind,0,5074044,52113455
,,,14520,wind,0,5133794,52053705
,,,3023,wind,0,5181244,52006255
,,,12645,wind,0,5245739,51941760
,,,9048,wind,0,5257378,51930121
,,,10451,solar,1,5735893,51451606
,,,10831,wind,0,5801161,51386338
,,,8069,solar,1,6317581,50869918
,,,5834,wind,0,6386413,50801086
,,,12236,wind,0,6406568,50780931
,,,2853,wind,0,6430741,50756758
,,,3929,wind,0,6485423,50702076
,,,17843,wind,0,6519441,50668058
,,,12954,solar,1,7005461,50182038
,,,11461,wind,0,7036323,50151176
,,,6230,wind,0,7059761,50127738
,,,4920,solar,1,7599836,49587663
,,,4850,wind,0,7640616,49546883
,,,7530,solar,1,8101651,49085848
,,,6441,wind,0,8187163,49000336
,,,1758,solar,1,8692848,48494651
,,,2729,solar,1,9191883,47995616
,,,1957,wind,0,9244973,47942526
,,,7548,wind,0,9280707,47906792
,,,5042,wind,0,9367558,47819941
,,,2938,wind,0,9432920,47754579
,,,8450,wind,0,9492569,47694930
,,,12119,solar,1,10033119,47154380
,,,11340,solar,1,10508689,46678810
,,,12649,wind,0,10550596,46636903
,,,5549,solar,1,11039561,46147938
,,,3733,wind,0,11073336,46114163
,,,13061,solar,1,11571611,45615888
,,,13022,wind,1,11781497,45406002
,,,2745,solar,1,12274452,44913047
,,,8850,solar,1,12744987,44442512
,,,13925,wind,0,12784885,44402614
,,,13462,solar,1,13287150,43900349
,,,15839,solar,1,13794545,43392954
,,,16260,wind,0,13842941,43344558
,,,2957,solar,1,14335041,42852458
,,,12065,solar,1,14841486,42346013
,,,5044,solar,1,15317816,41869683
,,,5144,wind,0,15331310,41856189
