Episode,Total Reward,Epsilon,Cell Index,Action Type,Reward,Energy Output,Unmet Demand
,,,10048,wind,8948,61167,57126332
,,,3640,solar,91446,533887,56653612
,,,15428,solar,93202,1012212,56175287
,,,12622,wind,14623,1097608,56089891
,,,12020,wind,12466,1171077,56016422
,,,15535,wind,-444,1187170,56000329
,,,4046,solar,91245,1661410,55526089
,,,7019,wind,6336,1705791,55481708
,,,2968,solar,101454,2222686,54964813
,,,4751,solar,95318,2714881,54472618
,,,12065,wind,3943,2748387,54439112
,,,9548,wind,3443,2783607,54403892
,,,12025,wind,4327,2823267,54364232
,,,15524,wind,3118,2856186,54331313
,,,2653,wind,8208,2909978,54277521
,,,3528,wind,3591,2942785,54244714
,,,7334,solar,86626,3394225,53793274
