Episode,Total Reward,Total Cost,Invalid Actions,Epsilon,Cell Index,Action Type,Reward,Energy Output,Unmet Demand
,,,,,7331,wind,0,81760,57105739
,,,,,11228,wind,0,132978,57054521
,,,,,7624,wind,0,169087,57018412
,,,,,14345,solar,0,669167,56518332
,,,,,5724,wind,0,702304,56485195
,,,,,11447,wind,0,732531,56454968
,,,,,4650,wind,0,769373,56418126
,,,,,9049,solar,0,1235443,55952056
,,,,,5170,solar,0,1758038,55429461
,,,,,7739,solar,0,2222493,54965006
,,,,,9149,wind,0,2236676,54950823
,,,,,5137,wind,0,2313451,54874048
,,,,,4444,solar,0,2790351,54397148
,,,,,10921,solar,0,3321876,53865623
,,,,,11024,wind,0,3404568,53782931
,,,,,3327,wind,0,3429675,53757824
,,,,,8767,solar,0,3937070,53250429
,,,,,8220,wind,0,3968604,53218895
,,,,,12546,wind,0,4032859,53154640
,,,,,14431,solar,0,4487909,52699590
,,,,,11553,wind,0,4510830,52676669
,,,,,4359,wind,0,4583299,52604200
,,,,,7548,wind,0,4619033,52568466
,,,,,11430,wind,0,4731687,52455812
,,,,,13553,solar,0,5217042,51970457
,,,,,2962,solar,0,5719117,51468382
,,,,,15051,solar,0,6213212,50974287
,,,,,11240,solar,0,6684507,50502992
,,,,,4537,wind,0,6721545,50465954
,,,,,11554,solar,0,7204715,49982784
,,,,,15051,wind,-2,7204715,49982784
,,,,,7323,solar,0,7733960,49453539
,,,,,13418,solar,0,8273085,48914414
,,,,,13842,solar,0,8758440,48429059
,,,,,13557,solar,0,9249115,47938384
,,,,,14151,wind,0,9272106,47915393
,,,,,15223,wind,0,9376409,47811090
,,,,,13855,wind,0,9399137,47788362
,,,,,4823,wind,0,9453080,47734419
,,,,,5150,wind,0,9518649,47668850
,,,,,15019,wind,0,9668372,47519127
,,,,,12335,solar,0,10153062,47034437
,,,,,14358,solar,0,10647632,46539867
,,,,,7030,wind,0,10665222,46522277
,,,,,16537,wind,0,10698916,46488583
,,,,,3540,wind,0,10734059,46453440
,,,,,2160,wind,0,10787789,46399710
,,,,,18250,wind,0,10846909,46340590
,,,,,14064,solar,0,11351264,45836235
,,,,,11854,wind,0,11380533,45806966
,,,,,9622,solar,0,11912913,45274586
,,,,,10436,wind,0,12022575,45164924
,,,,,14634,solar,0,12500900,44686599
,,,,,2953,wind,0,12549230,44638269
,,,,,16640,wind,0,12600168,44587331
,,,,,6331,wind,0,12630393,44557106
,,,,,12122,wind,0,12679615,44507884
,,,,,11517,solar,0,13221400,43966099
,,,,,6668,wind,0,13270965,43916534
,,,,,17657,wind,0,13322897,43864602
,,,,,15459,wind,0,13357585,43829914
,,,,,6668,wind,-2,13357585,43829914
,,,,,15125,wind,0,13392379,43795120
,,,,,8352,wind,0,13417428,43770071
,,,,,11858,solar,0,13904968,43282531
,,,,,12122,solar,-2,13904968,43282531
,,,,,3162,wind,0,13941156,43246343
,,,,,12559,wind,0,13965046,43222453
,,,,,5919,solar,0,14518801,42668698
,,,,,12523,solar,0,15037691,42149808
,,,,,5236,wind,0,15100432,42087067
,,,,,11659,solar,0,15591582,41595917
,,,,,13761,solar,0,16092897,41094602
,,,,,12916,solar,0,16648647,40538852
,,,,,10848,solar,0,17121841,40065658
,,,,,10746,wind,0,17206533,39980966
,,,,,17042,wind,0,17233234,39954265
,,,,,8148,wind,0,17285383,39902116
,,,,,4638,wind,0,17353046,39834453
,,,,,4547,wind,0,17370233,39817266
,,,,,13453,solar,0,17856823,39330676
,,,,,10831,wind,0,17922091,39265408
,,,,,13461,wind,0,17948343,39239156
,,,,,12434,solar,0,18435028,38752471
,,,,,9048,wind,0,18446667,38740832
,,,,,11766,wind,0,18487602,38699897
,,,,,8130,wind,0,18509269,38678230
,,,,,9367,wind,0,18562684,38624815
,,,,,2527,wind,0,18587296,38600203
,,,,,10942,wind,0,18655301,38532198
,,,,,12556,solar,0,19144931,38042568
,,,,,13418,solar,-2,19144931,38042568
,,,,,13253,wind,0,19169280,38018219
,,,,,14051,wind,0,19184848,38002651
,,,,,11458,wind,0,19213446,37974053
,,,,,8548,solar,0,19683316,37504183
,,,,,2754,wind,0,19720309,37467190
,,,,,12429,wind,0,19778446,37409053
,,,,,13657,wind,0,19803585,37383914
,,,,,15117,wind,0,19931485,37257676
,,,,,15628,wind,0,19984585,37207307
,,,,,3471,wind,0,20077074,37117613
,,,,,9862,wind,0,20108039,37088209
,,,,,15062,wind,0,20141587,37056611
,,,,,7548,wind,-2,20141587,37056611
,,,,,9219,solar,0,20688217,36659153
,,,,,7319,wind,0,20740396,36611046
,,,,,13351,wind,0,20766892,36587801
,,,,,4526,solar,0,21288062,36215619
,,,,,5824,solar,0,21817022,35895994
,,,,,9566,wind,0,21863900,35855580
,,,,,5937,wind,0,21915046,35808561
,,,,,3261,wind,0,21962939,35764418
,,,,,13060,solar,0,22458839,35495191
,,,,,4941,wind,0,22549358,35412086
,,,,,2460,wind,0,22592531,35372577
,,,,,9940,wind,0,22673267,35305067
,,,,,3661,wind,0,22708262,35273526
,,,,,10215,solar,0,23261542,35012501
,,,,,14322,wind,0,23314789,34970073
,,,,,5449,wind,0,23358748,34932961
,,,,,12157,wind,0,23385559,34912447
,,,,,17649,wind,0,23409585,34893308
,,,,,13061,solar,0,23907860,34650580
,,,,,16143,wind,0,23948500,34617424
,,,,,10349,wind,0,24017948,34561207
,,,,,16058,solar,0,24525153,34318274
,,,,,13251,wind,0,24546998,34301670
,,,,,4944,wind,0,24619095,34235395
,,,,,13351,solar,-2,24619095,34235395
,,,,,13818,solar,0,25154705,34009587
,,,,,9025,solar,0,25669225,33819875
,,,,,12542,solar,0,26159805,33641317
,,,,,11142,wind,0,26254485,33568262
,,,,,4446,wind,0,26301295,33525830
,,,,,9327,wind,0,26335434,33498391
,,,,,2931,wind,0,26363561,33472490
,,,,,10322,wind,0,26438064,33412715
,,,,,11053,wind,0,26472553,33387635
,,,,,5370,wind,0,26549084,33325622
,,,,,2636,wind,0,26574686,33301518
,,,,,17541,wind,0,26613514,33271217
,,,,,2255,wind,0,26673331,33218544
,,,,,14245,solar,0,27170466,33034585
,,,,,11649,solar,0,27646701,32859308
,,,,,8219,wind,0,27683640,32830053
,,,,,13315,solar,0,28236635,32639626
,,,,,16340,solar,0,28741940,32501312
,,,,,7619,wind,0,28768504,32480822
,,,,,14633,wind,0,28781842,32471796
,,,,,3840,wind,0,28826804,32432330
,,,,,14239,wind,0,28835531,32426597
,,,,,16129,wind,0,28877708,32395837
,,,,,12247,wind,0,28931140,32357662
,,,,,4251,solar,0,29420295,32245412
,,,,,3724,wind,0,29463248,32207661
,,,,,9351,wind,0,29490342,32188393
