Episode,Total Reward,Epsilon,Cell Index,Action Type,Reward,Energy Output,Unmet Demand
,,,13221,wind,0,22178,57165321
,,,10236,wind,0,139522,57047977
,,,12122,wind,0,188743,56998756
,,,3268,solar,1,705353,56482146
,,,4725,wind,0,740303,56447196
,,,14634,wind,0,752585,56434914
,,,4635,wind,0,803508,56383991
,,,11948,solar,0,1280503,55906996
,,,14036,wind,0,1313010,55874489
,,,5920,solar,1,1864960,55322539
,,,14744,wind,0,1876351,55311148
,,,9923,solar,1,2401606,54785893
,,,6727,wind,0,2443842,54743657
,,,2741,wind,0,2468165,54719334
,,,8817,solar,1,3020115,54167384
,,,15649,wind,0,3035329,54152170
,,,10945,wind,0,3101002,54086497
,,,12760,solar,0,3596617,53590882
,,,5140,wind,0,3625978,53561521
,,,9449,wind,0,3641328,53546171
,,,10853,wind,0,3666977,53520522
,,,11123,wind,0,3761961,53425538
,,,13749,wind,0,3775745,53411754
,,,10141,solar,0,4243050,52944449
,,,8046,solar,0,4718335,52469164
,,,9834,wind,0,4753476,52434023
,,,10828,wind,0,4808161,52379338
,,,17651,wind,0,4827351,52360148
,,,13737,wind,0,4847989,52339510
