Episode,Step,Action Type,Reward,Energy Output,Unmet Demand
1,1,wind,0.09053148088665297,62839.60708236694,57124660.39291763
1,2,wind,0.04434317855886613,101842.11608886719,57085657.88391113
1,3,wind,0.05089125352271083,142678.59618759155,57044821.40381241
1,4,wind,0.2885200676315866,293910.9633331299,56893589.03666687
1,5,wind,0.04098130872260794,332367.9087944031,56855132.0912056
1,6,wind,0.07752434359161249,384167.9123058319,56803332.08769417
1,7,wind,0.06561850003983455,433564.3496494293,56753935.65035057
1,8,wind,-0.009528193963024751,449700.6863708496,56737799.31362915
1,9,wind,0.1689968417575511,544381.3922691345,56643118.607730865
1,10,solar,0.9260402183290581,1022991.4024162294,56164508.59758377
1,11,wind,0.06353328573829378,1071699.246520996,56115800.753479004
1,12,wind,0.010640318625776853,1092114.8613948822,56095385.13860512
1,13,wind,0.08429822290821991,1149358.6879520416,56038141.31204796
1,14,solar,0.9333446315155496,1633383.6680202484,55554116.33197975
1,15,solar,0.9850748099414423,2140778.6756305695,55046721.32436943
1,16,wind,0.11123754311666416,2210591.306623459,54976908.69337654
1,17,wind,0.04829212724673678,2250337.3187179565,54937162.68128204
1,18,solar,0.9044615415744763,2722772.3234291077,54464727.67657089
1,19,wind,0.10462868911551021,2790239.8300971985,54397260.1699028
1,20,wind,-0.0008729832754650851,2807957.799703598,54379542.2002964
1,21,solar,0.959706191750652,3302052.8199977875,53885447.18000221
1,22,solar,0.9085872366276198,3776197.8366680145,53411302.163331985
1,23,wind,0.12694016382044182,3853567.1214809422,53333932.87851906
1,24,wind,0.09831984289967222,3917356.8305263524,53270143.16947365
1,25,solar,0.9905446119590744,4422281.8359622955,52765218.164037704
1,26,wind,0.011878454420607304,4443260.239833832,52744239.76016617
1,27,solar,0.9873714198177925,4951320.244544983,52236179.75545502
1,28,solar,0.9811946747636551,5456245.2499809265,51731254.75001907
1,29,wind,0.15644817538445233,5548196.996635437,51639303.00336456
1,30,solar,0.9924220675710076,6058727.003520966,51128772.996479034
1,31,solar,1.018550575284576,6576381.992286682,50611118.00771332
1,32,solar,1.0169168517609661,7094796.9712677,50092703.0287323
1,33,wind,0.02181507041461766,7120451.8862838745,50067048.113716125
1,34,wind,0.0976734258205467,7180268.136917114,50007231.863082886
1,35,wind,0.07034442624116084,7232156.119998932,49955343.88000107
1,36,solar,0.9670686868830607,7730241.122898102,49457258.8771019
1,37,solar,1.048019631890871,8261291.137393952,48926208.86260605
1,38,wind,0.06186384206434013,8309930.270244599,48877569.7297554
1,39,solar,1.0607686047836278,8846775.272418976,48340724.727581024
1,40,wind,0.18377510506673017,8950298.356456757,48237201.64354324
1,41,wind,0.08052087356543168,9002477.859939575,48185022.140060425
1,42,wind,0.017609022229621185,9026963.692712784,48160536.307287216
1,43,solar,0.9886250973638963,9532078.68437767,47655421.31562233
1,44,wind,0.06738969420530601,9582670.240270615,47604829.759729385
1,45,wind,0.17401342449604534,9679631.211050034,47507868.78894997
1,46,wind,-0.0018168306202767416,9698634.456809998,47488865.54319
